,img_file,raw_text,clean_text,transcription_data,justification_category,justification_J_Denial,justification_J_Development-Unity,justification_J_Emergency-Policy,justification_J_Intelligence,justification_J_Intl-Domestic_Precedent,justification_J_Last-resort,justification_J_Law-and-order,justification_J_Legal_Procedure,justification_J_Misc,justification_J_Political-Strategic,justification_J_Terrorism,justification_J_Utilitarian-Deterrence
10,IMG_8057_PREM_15_1013,"Pending the report of the commission and of 
the subsequent legislation on it, the Government therefore proposes at an early date to introduce interim legislation under the Special Powers Act to set up a special tribunal to deal with persons accused of terrorist activities by means of a procedure which will preserve the essentials of natural justice, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland.
",pending the report of the commission and of  the subsequent legislation on it the government therefore proposes at an early date to introduce interim legislation under the special powers act to set up a special tribunal to deal with persons accused of terrorist activities by means of a procedure which will preserve the essentials of natural justice but which will be matched to the special conditions which unfortunately obtain in northern ireland ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
11,IMG_8057_PREM_15_1013,"But the Government 
wishes to make clear at once that these measures will not in any way be directed against the holding of opinions, but only against the use of violence and terror to force those opinions on law",but the government  wishes to make clear at once that these measures will not in any way be directed against the holding of opinions but only against the use of violence and terror to force those opinions on law,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
12,IMG_8058_PREM_15_1013,"abiding citizens.
",abiding citizens ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
13,IMG_8058_PREM_15_1013,"Moreover, these Interim provisions will be 
employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence.",moreover these interim provisions will be  employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
14,IMG_8291_PREM_15_1015,"The Prime Minister said that the Army statement had been concerned to deny the wide general allegations which had been made, and was justified in so doing.",the prime minister said that the army statement had been concerned to deny the wide general allegations which had been made and was justified in so doing,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
15,IMG_8880_PREM_15_1691,"Dr. Fitzgerald asked the British Government’s intentions on 
internment. The Prime Minister said that the British Government 
had changed the basis on which people were detained in Northern Ireland. 
Powers Act. 
The White Paper would deal with the future of the Special",dr fitzgerald asked the british governments intentions on  internment the prime minister said that the british government  had changed the basis on which people were detained in northern ireland  powers act  the white paper would deal with the future of the special,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
16,IMG_9316_PREM_15_1692,"The Foreign and Commonwealth Secretary and the Secretary of 
State for Northern Ireland agree (as does Tom Bridges) that it will be helpful for you to send a further message to the Pope explaining the present position on ""internment"" - as he persists in calling it and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper
",the foreign and commonwealth secretary and the secretary of  state for northern ireland agree as does tom bridges that it will be helpful for you to send a further message to the pope explaining the present position on internment  as he persists in calling it and expressing the hope that the pope will be able to make a public and welcoming reference to the white paper ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
17,IMG_9316_PREM_15_1692,"When Mr. Whitelaw lunched today with Cardinal Heenan he 
discovered that the Cardinal had very little idea of the new procedures for detention. 
Cardinal Heenan said that he did not 
believe that the changes we have made were understood in Rome. In the light of this conversation and of the Cardinal’s favourable reaction to what he was told, Mr. Whitelaw thinks that there is all the stronger case for sending a further message to the Pope.",when mr whitelaw lunched today with cardinal heenan he  discovered that the cardinal had very little idea of the new procedures for detention  cardinal heenan said that he did not  believe that the changes we have made were understood in rome in the light of this conversation and of the cardinals favourable reaction to what he was told mr whitelaw thinks that there is all the stronger case for sending a further message to the pope,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
18,IMG_9317_PREM_15_1692,I agree that the Pope’s reference to internment was a disappointing feature of his message. The message suggests a possible misunderstanding of the situation.,i agree that the popes reference to internment was a disappointing feature of his message the message suggests a possible misunderstanding of the situation,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
19,IMG_9320_PREM_15_1692,"While the Commission was deliberating, the 
Government proposed, and Parliament in Westminster approved, the abolition of internment by the Executive as it had been practised 
Northern 
Ireland law, and the enactment, as an interim measure pending the Commission’s Report, procedures for detention.
",while the commission was deliberating the  government proposed and parliament in westminster approved the abolition of internment by the executive as it had been practised  northern  ireland law and the enactment as an interim measure pending the commissions report procedures for detention ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
20,IMG_9320_PREM_15_1692,"Specific safeguards were incorporated, which have been in operation since 7 November 1972, as follows",specific safeguards were incorporated which have been in operation since 7 november 1972 as follows,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
21,IMG_9321_PREM_15_1692,"a person detained by order of a commissioner has a right of appeal to an independent tribunal
",a person detained by order of a commissioner has a right of appeal to an independent tribunal ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
22,IMG_9321_PREM_15_1692,"(d) a person appearing before a commissioner is given in advance a statement of the terrorist activities he is alleged to have engaged in; 
(e) such a person may give evidence and be legally represented.
",d a person appearing before a commissioner is given in advance a statement of the terrorist activities he is alleged to have engaged in  e such a person may give evidence and be legally represented ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
23,IMG_9321_PREM_15_1692,"This is a far cry from internment.
",this is a far cry from internment ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
24,IMG_9321_PREM_15_1692,The procedures contain all possible safeguards against injustice.,the procedures contain all possible safeguards against injustice,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
25,IMG_9325_PREM_15_1692,"While believing that the Pope’s attitude hitherto 
hardly suggests he will give a forthright lead, the Foreign and Commonwealth Secretary agrees with the Prime Minister that it would be helpful to send a further message explaining the present position on ""internment"" (as the Pope persists in calling it), and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper.",while believing that the popes attitude hitherto  hardly suggests he will give a forthright lead the foreign and commonwealth secretary agrees with the prime minister that it would be helpful to send a further message explaining the present position on internment as the pope persists in calling it and expressing the hope that the pope will be able to make a public and welcoming reference to the white paper,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
26,IMG_9330_PREM_15_1692,"Northern Ireland, the Prime Minister sees considerable attracticn in a fairly open statement of support by the Pope for the White Paper proposals; and Pope Paul may be more willing to speak out if he can be persuaded that we have taken positive steps on internment.",northern ireland the prime minister sees considerable attracticn in a fairly open statement of support by the pope for the white paper proposals and pope paul may be more willing to speak out if he can be persuaded that we have taken positive steps on internment,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
27,IMG_9334_PREM_15_1692,"A personal explanation from you of what we have done on internment will make much more of an impact on the Pope than Mr. Crawley’s discussions with Vatican officials. 
Subject to Mr. Whitelaw’s views, 
there is considerable attraction in a fairly open statement of support by the Pope for the White Paper proposals; and he may be more willing to speak out if he can be persuaded that we have taken positive steps on internment.",a personal explanation from you of what we have done on internment will make much more of an impact on the pope than mr crawleys discussions with vatican officials  subject to mr whitelaws views  there is considerable attraction in a fairly open statement of support by the pope for the white paper proposals and he may be more willing to speak out if he can be persuaded that we have taken positive steps on internment,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
28,IMG_9335_PREM_15_1692,"THIS WAS SOMEWHAT UNEXPECTED AS PARAGRAPHS 58 TO 60 OF THE WHITE PAPER DEALT WITH THIS POINT AND WE HAD SENT THE VATICAN THE TEXT OF MR WHITELAW’S STATEMENT MADE IN THE HOUSE OF COMMONS ON 20 DECEMBER LAST ON THE REPORT OF THE DIPLOCK COMMISSION. WE HAD ALSO SENT THE TEXT OF THE PRIME MINISTER’S SIMILAR STATEMENT ON 28 MARCH WHICH AGAIN DEALS WITH INTERNMENT. MOREOVER, THE PRIME MINISTER. HIMSELF HAD EXPLAINED TO THE POPE OUR DIFFICULTIES ABOUT INTERNMENT",this was somewhat unexpected as paragraphs 58 to 60 of the white paper dealt with this point and we had sent the vatican the text of mr whitelaws statement made in the house of commons on 20 december last on the report of the diplock commission we had also sent the text of the prime ministers similar statement on 28 march which again deals with internment moreover the prime minister himself had explained to the pope our difficulties about internment,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
29,IMG_9336_PREM_15_1692,"DURING THEIR MEETING LAST OCTOBER, INFORMING HIM THAT, SINCE THE INTRODUCTION OF DIRECT RULE, THE NUMBER OF INTERNEES HAD BEEN REDUCED FROM OVER 1,000 TO SOME 171 AND THAT MORE WOULD SOON BE RELEASED.",during their meeting last october informing him that since the introduction of direct rule the number of internees had been reduced from over 1000 to some 171 and that more would soon be released,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
30,IMG_1770_CJ_4_251,"Page 1 : (130,497) - (482,537)",page 1  130497  482537,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
31,IMG_1808_CJ_4_458,If the answers given do not raise a sufficient suspicion to justify arrest he must be allowed to go on his way immediately.,if the answers given do not raise a sufficient suspicion to justify arrest he must be allowed to go on his way immediately,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
32,IMG_1924_CJ_4_458,"Though the name of the organisation is ambiguous, the ALJ is not in any sense a legal body but a propaganda group. The ALJ forms what might be termed an unofficial complaints bureau whereby anyone having a complaint, real or imagined, can-get in touch with willing solicitors who will take down a deposition which has every appearance of a legal document.
",though the name of the organisation is ambiguous the alj is not in any sense a legal body but a propaganda group the alj forms what might be termed an unofficial complaints bureau whereby anyone having a complaint real or imagined canget in touch with willing solicitors who will take down a deposition which has every appearance of a legal document ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
33,IMG_1924_CJ_4_458,"It is interesting to note that this technique is justified by ALJ on the grounds that no one can expect justice from the courts here, yet cases when the courts have found against members of the security forces for assault or other offences have been reported in the newspapers.",it is interesting to note that this technique is justified by alj on the grounds that no one can expect justice from the courts here yet cases when the courts have found against members of the security forces for assault or other offences have been reported in the newspapers,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
34,IMG_1925_CJ_4_458,"Fundamentally the ALJ provides the IRA with a platform for spreading lies. It is a fact that IRA men have standing instructions that, after being in the hands of the security forces, they should make allegations of brutality. As a result of this, a defendant has now only to say his statement was taken under duress to enjoy a very good chance of having it disallowed - an example of the effectiveness of propaganda.",fundamentally the alj provides the ira with a platform for spreading lies it is a fact that ira men have standing instructions that after being in the hands of the security forces they should make allegations of brutality as a result of this a defendant has now only to say his statement was taken under duress to enjoy a very good chance of having it disallowed  an example of the effectiveness of propaganda,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
35,IMG_1931_CJ_4_458,"When an admission was made during the course of interrogation, Special Branch called on the CID, would remove the prisoner to a Police Station and treat him there in strict accordance with the judges’ rules: statements would be taken, etc.",when an admission was made during the course of interrogation special branch called on the cid would remove the prisoner to a police station and treat him there in strict accordance with the judges rules statements would be taken etc,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
36,IMG_1932_CJ_4_458,"They could not defend physical contact between the interrogator and his prisoner, and Lord Windlesham was therefore particularly glad to learn that this was specifically prohibited.",they could not defend physical contact between the interrogator and his prisoner and lord windlesham was therefore particularly glad to learn that this was specifically prohibited,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
37,IMG_2327_DEFE_13_917,"Page 1 : (168,688) - (626,769)",page 1  168688  626769,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
38,IMG_2141_DEFE_13_919,"Military personnel are to acquaint themselves 
with the laws of the country concerned, and will not act unlawfully under any circumstances whatever.",military personnel are to acquaint themselves  with the laws of the country concerned and will not act unlawfully under any circumstances whatever,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
39,IMG_2151_DEFE_24_1214,"ntenos are to be treated fairly but frmly. No monber of the Staif 
ecr.-Powers of Cnimanda .: 
will be ptrmitted to adopt an aggressivo or buying manuiortownl them.-",ntenos are to be treated fairly but frmly no monber of the staif  ecrpowers of cnimanda   will be ptrmitted to adopt an aggressivo or buying manuiortownl them,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
40,IMG_2162_DEFE_24_1214,"This will be done only after a careful scrutiny of information furnished to me by the police in respect of each ouch person, sufficient to convince me that the individual in question is a threat to present peace and maintenance of order. Any such person will then have the right",this will be done only after a careful scrutiny of information furnished to me by the police in respect of each ouch person sufficient to convince me that the individual in question is a threat to present peace and maintenance of order any such person will then have the right,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
41,IMG_2163_DEFE_24_1214,"of access to an advisory committee. which will hear representations for release and make recommendations to me.
",of access to an advisory committee which will hear representations for release and make recommendations to me ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
42,IMG_2163_DEFE_24_1214,"This is not action taken against any responsible and law- 
abiding section of the community. Nor is it in any way punitive or indiscriminate.
",this is not action taken against any responsible and law  abiding section of the community nor is it in any way punitive or indiscriminate ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
43,IMG_2163_DEFE_24_1214,Is it more of an evil than to allow the perpetrators of these outrages to remain at liberty?,is it more of an evil than to allow the perpetrators of these outrages to remain at liberty,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
44,IMG_2165_DEFE_24_1214,"The action we have now taken does not indicate any policy of repression. We are acting not to suppress freedom, but to allow the overwhelming mass of our people to enjoy freedom",the action we have now taken does not indicate any policy of repression we are acting not to suppress freedom but to allow the overwhelming mass of our people to enjoy freedom,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
45,IMG_2172_DEFE_24_1214,"During thin period in he protoctod by the Judges Rules?
",during thin period in he protoctod by the judges rules ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
46,IMG_2172_DEFE_24_1214,"Under Regulation 11(2) a person ay be detained by ardor until (a) he bas been dischared by direction of the Attorney-Geneml or (b) he is brought before a Court of uraarys 
Jurisdiotion.",under regulation 112 a person ay be detained by ardor until a he bas been dischared by direction of the attorneygeneml or b he is brought before a court of uraarys  jurisdiotion,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
47,IMG_2179_DEFE_24_1214,": 
at the centre. b. 
All legal formalities relating to the custody of arrested persons
",  at the centre b  all legal formalities relating to the custody of arrested persons ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
48,IMG_2179_DEFE_24_1214,"Adminstrative arrangements for running the centre including 
the accommodation, medical care and messing of all persons in the centre. There must be a full medical check by a doctor of every arrested person when he enters the centre.",adminstrative arrangements for running the centre including  the accommodation medical care and messing of all persons in the centre there must be a full medical check by a doctor of every arrested person when he enters the centre,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
49,IMG_2180_DEFE_24_1214,on the general principle that personnel must never use more force then the minimum necessary to enable them to carry out their duties.,on the general principle that personnel must never use more force then the minimum necessary to enable them to carry out their duties,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
50,IMG_2187_DEFE_24_1214,"Page 1 : (129,291) - (470,338)",page 1  129291  470338,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
51,IMG_2191_DEFE_24_1214,"Page 1 : (19,273) - (582,306)",page 1  19273  582306,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
52,IMG_2194_DEFE_24_1214,"We have however sought to ensure that the measures 
taken do not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. 
Protestant as well as Catholic 
and I.R.A. extremists will be liable to internment",we have however sought to ensure that the measures  taken do not discriminate as between the different sections of the community except as the facts of the situation make inevitable  protestant as well as catholic  and ira extremists will be liable to internment,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
53,IMG_2197_DEFE_24_1214,"We have sought to ensure that the measures taken do not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. 
Protestants as well as Catholic and I.R.A., 
extremists will be liable to internment;
",we have sought to ensure that the measures taken do not discriminate as between the different sections of the community except as the facts of the situation make inevitable  protestants as well as catholic and ira  extremists will be liable to internment ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
54,IMG_2197_DEFE_24_1214,we hope that these measures can be strictly temporary,we hope that these measures can be strictly temporary,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
55,IMG_2207_DEFE_24_1214,I SHOULD ALSO SEER HIS AGREEMENT THAT OUR DISCUSSION ON INTERNMENT IS TOTALLY DENIABLE AND HAS NOT TAKEN PLACE.,i should also seer his agreement that our discussion on internment is totally deniable and has not taken place,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
56,IMG_2210_DEFE_24_1214,Membership of a review tribunal was raised.,membership of a review tribunal was raised,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
57,IMG_2245_DEFE_24_1214,"Should at any stage there be overcrowding in the camp, as Chambers has pointed out, there is space for an extra hut in the camp layout.",should at any stage there be overcrowding in the camp as chambers has pointed out there is space for an extra hut in the camp layout,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
58,IMG_2255_DEFE_24_1214,"and the alternative use of the buildings as accommod tion for British troops.
",and the alternative use of the buildings as accommod tion for british troops ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
59,IMG_2255_DEFE_24_1214,"The second ground - troop accommodation - needs to be examined 
against the background of current and projected force levels and the means of housing them.",the second ground  troop accommodation  needs to be examined  against the background of current and projected force levels and the means of housing them,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
60,IMG_2256_DEFE_24_1214,"(a) to authenticate the cover story, it is essential that the camp should be seen to be performing its secondary role; it will therefore need to be occupied, as much as possible, by British troops;
",a to authenticate the cover story it is essential that the camp should be seen to be performing its secondary role it will therefore need to be occupied as much as possible by british troops ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
61,IMG_2256_DEFE_24_1214,"There is no doubt that, if not required for 
internment purposes, the camp could be immediately occupied by troops and thereafter constantly and fully used.",there is no doubt that if not required for  internment purposes the camp could be immediately occupied by troops and thereafter constantly and fully used,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
62,IMG_2262_DEFE_24_1214,"and that it w-as docirable for an alternative uco -or Ohe accommodation to to, found.
",and that it was docirable for an alternative uco or ohe accommodation to to found ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
63,IMG_2262_DEFE_24_1214,"Givon that. the reyal purpoco of tho accommodation munt not be divulgod in public,’ the Northorn Ireland Govornment have confirmod that they can see no viay in overcoming two major difficultico",givon that the reyal purpoco of tho accommodation munt not be divulgod in public the northorn ireland govornment have confirmod that they can see no viay in overcoming two major difficultico,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
64,IMG_2263_DEFE_24_1214,"and the alternative 
i use of. the buildings as accommodation for ritiah troops.",and the alternative  i use of the buildings as accommodation for ritiah troops,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
65,IMG_2265_DEFE_24_1214,"As an indication of Long Koh’so valuo, thore is no doubt that co long as it vaa not required for internoos, it would be used to houco’ troops inodiatoly on ito completion.
",as an indication of long kohso valuo thore is no doubt that co long as it vaa not required for internoos it would be used to houco troops inodiatoly on ito completion ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
66,IMG_2265_DEFE_24_1214,"the Ministry of Defence have a separate though related 
interest in the accommodation which an intrnent camp vould provide, as a means of oupplomonting, and to the extent of ono major unite worth, replacing, temporary and sub-standard accommodation.
",the ministry of defence have a separate though related  interest in the accommodation which an intrnent camp vould provide as a means of oupplomonting and to the extent of ono major unite worth replacing temporary and substandard accommodation ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
67,IMG_2265_DEFE_24_1214,"to authenticate the cover story, it i essential that 
the camp should be soen to be performing its secondary role; it will, thereforoQ need to be ocupid, as much as possible, by British troops=
",to authenticate the cover story it i essential that  the camp should be soen to be performing its secondary role it will thereforoq need to be ocupid as much as possible by british troops ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
68,IMG_2265_DEFE_24_1214,"because it is temporary accommodation, and not deigned to troop requirements’or standard, and because’there is no security of ’tenure (le troops would have to vaoato it if i -ere required for its primary role),",because it is temporary accommodation and not deigned to troop requirementsor standard and becausethere is no security of tenure le troops would have to vaoato it if i ere required for its primary role,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
69,IMG_2272_DEFE_24_1214,"If in the event it were not needed for this primary purpose it would provide emergency accommodation of a reasonable standard for use by a battalion.
",if in the event it were not needed for this primary purpose it would provide emergency accommodation of a reasonable standard for use by a battalion ,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
70,IMG_2272_DEFE_24_1214,"It could be built in such a way that the external signs of its use as an internment camp 
- for example, guard towers and corrugated iron fencing - could be left for erection only when this 
use was intended; and that the internal facilities required in this event 
an alternative legitimate designation. 4. 
- e.g. reception centre, refractory cell block - could be given",it could be built in such a way that the external signs of its use as an internment camp   for example guard towers and corrugated iron fencing  could be left for erection only when this  use was intended and that the internal facilities required in this event  an alternative legitimate designation 4   eg reception centre refractory cell block  could be given,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
71,IMG_2273_DEFE_24_1214,"The Home Office (Prison Department’s) advice is that the accommoda- 
tion would be defensible on humanitarian grounds. The proposed arrangements will however be examined in greater detail and any necessary changes reflected in the design. (The examination will also cover the associated problem of privileges).",the home office prison departments advice is that the accommoda  tion would be defensible on humanitarian grounds the proposed arrangements will however be examined in greater detail and any necessary changes reflected in the design the examination will also cover the associated problem of privileges,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
72,IMG_2274_DEFE_24_1214,"It is therefore considered that it would be a prudent precaution to start work on a new camp as soon as possible: a. 
to ensure that a properly secure camp, with living 
conditions about which there would be no legitimate grounds for complaint, is available,",it is therefore considered that it would be a prudent precaution to start work on a new camp as soon as possible a  to ensure that a properly secure camp with living  conditions about which there would be no legitimate grounds for complaint is available,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
73,IMG_2276_DEFE_24_1214,"All the facilities for the internees and their custodians can be 
designed to double for Service accommodation so that the camp can be used for that purpose.",all the facilities for the internees and their custodians can be  designed to double for service accommodation so that the camp can be used for that purpose,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
74,IMG_2278_DEFE_24_1214,The standards of living and recreation space and other amenities are considered to be adequate and defensible but will need to be confirmed.,the standards of living and recreation space and other amenities are considered to be adequate and defensible but will need to be confirmed,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
75,IMG_2279_DEFE_24_1214,"the disadvantages of MAIDSTONE are: a. 
it can only take 150 internees immediately. b. it would be unsatisfactory for internees for more than 
about one month. c. 
it would provide internees accommodation at the expense of Army requirements.",the disadvantages of maidstone are a  it can only take 150 internees immediately b it would be unsatisfactory for internees for more than  about one month c  it would provide internees accommodation at the expense of army requirements,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
76,IMG_2285_DEFE_24_1214,"The Army authorities in Northern Ireland who were associated with the examination are satisfied that they could arrange for exercises, visiting, interrogation and medical services on an ad hoc basis for the comparatively short period while the MAIDSTONE would be used for this purpose.",the army authorities in northern ireland who were associated with the examination are satisfied that they could arrange for exercises visiting interrogation and medical services on an ad hoc basis for the comparatively short period while the maidstone would be used for this purpose,0,J_Denial,1,0,0,0,0,0,0,0,0,0,0,0
