text,strlabel,labels
"We understand that the authorities accepted that in consequence of this security requirement, the operation would be carried out with a considerable element of local improvisation and might be attended by some administrative confusion, but that they considered this to be the lesser evil in relation to the paramount need to maintain security and achieve surprise.",J_Emergency-Policy,8
Mr. [] suggests that the main stress of the statement should [] on the narrow scope of internment as defined in paragraph 2 and on the fact that the signing of the orders entitles internees to apply to the appeal committee. ,J_Legal_Procedure,7
"1. Ministers here have agreed that the date now agreed for a tripartite summit means that it would hardly be possible to defer making internment orders until after the meeting. As far as we are concerned, therefore, the way is clear for the making of orders as soon as you have your appeal committee appointed.",J_Legal_Procedure,7
Mr. [] suggests that the main stress of the statement should [] on the narrow scope of internment as defined in paragraph 2 and on the fact that the signing of the orders entitles internees to apply to the appeal committee. ,J_Misc,4
"2. In the discussion which I had with your prime minister, which I have reported to ministers here, it was agreed that internment orders would only be made in respect of persons who there are reasonable grounds for thinking are actively associated with one or other branch of the IRA - or, if any such are subsequently detained, members of any other terrorists organisations.",J_Terrorism,0
The possibility of refuting allegations of vindictiveness in making arrests would be pursued.,J_Denial,3
"MR FAULKNER said that the view of the security forces was that it would be untimely to publish such a description, which might prejudice their chances of success in arresting the remainder of the persons whose detention was sought.
",J_Misc,4
It would be important to select people who could fairly distinguish between deliberate brutality and the force that had inevitably to be used to bring violent terrorists into custody.,J_Terrorism,0
THE PRIME MINISTER said that it was important that the momentum of interrogation should be maintained and that the remaining persons whose detention was sought should be arrested as soon as possible.,J_Misc,4
"The problem of security and public order. 
C. Internment. (This is put separately, and last, partly because it is in a sense the most difficult issue and partly because it bridges A and B, which are therefore beat discussed first).",J_Law-and-order,9
"The problem of security and public order. 
C. Internment. (This is put separately, and last, partly because it is in a sense the most difficult issue and partly because it bridges A and B, which are therefore beat discussed first).",J_Emergency-Policy,8
This will provide the cover for any arrests you may have,J_Legal_Procedure,7
"To enable you to proeed with arrests under the Special Powers Acts
",J_Legal_Procedure,7
"you will be receiving, from an officer in the RUC, an authorisation in the form at Annex A. 
to make under Regulation 10
",J_Legal_Procedure,7
2. Although fundamentally the situation has not changed since April when this was discussed in London we both recognise that circumstances could still arise very suddenly which might require a quick decision on internment. Examples are: A. The death of civilians in an indiscriminate bomb attack. B. A successful attack on the main railway line with loss of life. In cases such as these the local reaction might well be such as to olige us to consider this measure very quickly.,J_Political-Strategic,5
2. Although fundamentally the situation has not changed since April when this was discussed in London we both recognise that circumstances could still arise very suddenly which might require a quick decision on internment. Examples are: A. The death of civilians in an indiscriminate bomb attack. B. A successful attack on the main railway line with loss of life. In cases such as these the local reaction might well be such as to olige us to consider this measure very quickly.,J_Emergency-Policy,8
But I simply don’t see how we can abandon internment at this stage.,J_Misc,4
The Attorney General and Mr Dalton only confirm our view however that the alternative of beinging the men to trial is not the answer.,J_Emergency-Policy,8
"There are I think some improvements which might be made to the interrment 
appeal procedure for example, by allowing legal representation of internees at the hearing - but this would be little more than window dressing and would be regarded as tinkering.",J_Legal_Procedure,7
"was the setting up of some form of Commission which would review the reasons for internment and the procedure which has so far been adopted.
",J_Legal_Procedure,7
"The Home Secretary told Mr. Faulkner that he proposed that Sir Edmund Compton 
be asked to carry on dealing with complaints from persons arrested with a view to internment. This, together with the arrangements which were being made for a Board of Visitors to hear complaints of people once they were received into prison, should fill the gap which had been criticised.",J_Misc,4
"Internment was producing information so rapidly that accommodation was becoming crowded.
",J_Misc,4
"The Home Secretary told Mr. Faulkner that he proposed that Sir Edmund Compton 
be asked to carry on dealing with complaints from persons arrested with a view to internment. This, together with the arrangements which were being made for a Board of Visitors to hear complaints of people once they were received into prison, should fill the gap which had been criticised.",J_Legal_Procedure,7
"A VICTORY FOR TERRORISM IN ANY PART OF THE UNITED KINGDOM WOULD BE A SIGNAL TO EVERY ANTI-DEMOCRATIC ELEMENT IN THE NATION THAT THE FABRIC OF DEMOCRATIC SOCIETY IS WIDE OPEN TO ATTACK. THE MAIN LINE OF BATTLE MAY, AT THE MOMENT, LIE THROUGH ULSTER, BUT IT IS TRULY A NATIONAL STRUGGLE AND THE WHOLE BRITISH PEOPLE MUST, IN A FULL REALISATION OF WHAT IS AT STAKE, BE DETERMINED TO WIN IT. AND IF THE IRA SEE THAT DETERMINATION - SEE IT MANIFEST IN PUBLIC OPINION, IN THE EXPRESSIONS OF ELECTED REPRESENTATIVES, IN THE ACTION OF THE GOVERNMENT 
- THEN THEY WILL COME QUICKLY TO THE REALISATION 
THAT IT IS POINTLESS TO CONTINUE.",J_Emergency-Policy,8
"IT IS NOT EASY FOR PEOPLE IN MANY AREAS TO EXPRESS PUBLICLY A CERTAIN VIEW, BUT I HAVE REASON TO KNOW THAT IN JUST SUCH AREAS MANY, MANY PEOPLE ARE DELIGHTED TO BE RID OF THE THUGS WHO HAVE FOR TOO LONG OPPRESSED THEM.
",J_Law-and-order,9
"THAT IS WHY IT IS VITALLY IMPORTANT 
- IN WHATEVER TALK THERE IS ABOUT 
POLITICAL MOVES - TO MAKE IT CLEAR THAT IN NO SENSE WILL THE IRA BE ALLOWED TO WIN. RESPONSIBLE POLITICAL INITIATIVES ARE OF NO INTEREST TO THE IRA:- WHAT THEY WANT IS SURRENDER.
",J_Terrorism,0
"A VICTORY FOR TERRORISM IN ANY PART OF THE UNITED KINGDOM WOULD BE A SIGNAL TO EVERY ANTI-DEMOCRATIC ELEMENT IN THE NATION THAT THE FABRIC OF DEMOCRATIC SOCIETY IS WIDE OPEN TO ATTACK. THE MAIN LINE OF BATTLE MAY, AT THE MOMENT, LIE THROUGH ULSTER, BUT IT IS TRULY A NATIONAL STRUGGLE AND THE WHOLE BRITISH PEOPLE MUST, IN A FULL REALISATION OF WHAT IS AT STAKE, BE DETERMINED TO WIN IT. AND IF THE IRA SEE THAT DETERMINATION - SEE IT MANIFEST IN PUBLIC OPINION, IN THE EXPRESSIONS OF ELECTED REPRESENTATIVES, IN THE ACTION OF THE GOVERNMENT 
- THEN THEY WILL COME QUICKLY TO THE REALISATION 
THAT IT IS POINTLESS TO CONTINUE.",J_Terrorism,0
"’WHAT IF I WERE TO LISTEN NOW TO MR HUME AND HIS COLLEAGUES, 
AND EMPTY THE CAMPS TOMORROW? WHO CAN SERIOUSLY IMAGINE THAT IN THAT SITUATION THEY WOULD BE ABLE TO EXERT ANY INFLUENCE FOR PEACE? THEY WOULD BE SWEPT ASIDE BY THE TRIUMPHANT GUNMAN.",J_Utilitarian-Deterrence,10
"PEOPLE THROUGHOUT THE UNITED KINGDOM ARE BEGINNING TO APPRECIATE THAT DEMOCRACY IS AT STAKE.
",J_Emergency-Policy,8
"- IT’S A GOOD ROUND PHRASE, 
BUT IT HAS LITTLE FOUNDATION IN FACT. THE INTERROGATION OF PECPLE RECENTLY TAKEN INTO DETENTION SHOWS VERY CLEARLY THAT IT WAS THE PERIOD IMMEDIATELY BEFORE INTERNMENT 
JUNE, JULY AND EARLY AUGUST - WHICH BROUGHT THE GREAT UPSURGE IN IRA STRENGTH.",J_Misc,4
"THEN, AND ONLY THEN, CAN MEASURES FOR THE SAFETY OF THE PUBLIC BE RELAXED.",J_Law-and-order,9
"YOU MAY ASK WHY IT IS, AS SO MANY OF THE IRA LEADERS ARE REMOVED FROM THE SCENE, THAT THE CAMPAIGN CONTINUES? IT CCNTINUES - 
I BELIEVE - BECAUSE OF IRRESPONSIBLE SPECULATION, 
WHICH ENCOURAGES AMONGST THE DIMINISHING RANKS OF THE TERRORISTS THE IDEA THAT THEY ONLY HAVE TO KEEP IT UP A LITTLE LONGER AND RESISTANCE TO THEIR EFFORTS WILL CRUMBLE:- THAT THE INTERNEES WILL BE RELEASED: THAT STORMONT WILL BE ABOLISHED: THAT A UNITED IRELAND, ENGINEERED BY THEM AND DOMINATED BY THEM, WILL BE JUST AROUND THE CORNER.
",J_Terrorism,0
They told me I was to be interned under the Special Powers Act.,J_Legal_Procedure,7
"It was not true that the SDLP had achieved nothing; some 700 out of 1,000 internees had already been released. 
The SDLP should not 
underestimate the strength of the views opposing them and the Secretary of State. They must also remember that as a member of the Cabinet he was not an entirely free agent. An immediate total response to the SDLP demands was not possible, but without any commitment hatever he did not rule out the possibility of taking some action to meet their demands.
",J_Misc,4
"As an earnest of his intentions he had just signed release orders for 47 internees. It would be said that he had been persuaded by the SDLP and had done a deal with them, but he was prepared to accept that.",J_Misc,4
"A statement would be released to the press explaining that the action had been taken in the light of the new situation in which the security forces were dominating the areas where the IRA had operated in the past. He would consider further, in the light of the security situation, what the SDLP had said.",J_Emergency-Policy,8
"The Secretary of State said that he had thought over what the SDLP had said to him the previous day. As an earnest of his intentions he had just signed release orders for 47 internees. It would be said that he had been persuaded by the SDLP and had done a deal with them, but he was prepared to accept that.",J_Political-Strategic,5
"It was not true that the SDLP had achieved nothing; some 700 out of 1,000 internees had already been released. 
The SDLP should not 
underestimate the strength of the views opposing them and the Secretary of State. They must also remember that as a member of the Cabinet he was not an entirely free agent. An immediate total response to the SDLP demands was not possible, but without any commitment hatever he did not rule out the possibility of taking some action to meet their demands.
",J_Political-Strategic,5
"As indicated in a separate memorandum, legislation is under consideration 
which would have the effect of putting the Special Powers Acts into suspense on termination of the present emergency.",J_Emergency-Policy,8
"a serious risk of the prolongation of the terrorist campaign.
",J_Terrorism,0
"to include proposals for ending internment as soon as the IRA campaign ceases
",J_Terrorism,0
"ut it can hardly be supposed that the confidence of the minority 
is to be on back by letting the gunman loose to reimpose their will in areas from which they have been expelled.
",J_Terrorism,0
It may also be possible,J_Terrorism,0
"defeated can in any way assist towards a political solution. 
Nor is it easy to see how the ending of internment before the IRA are The opposition 
have no control over the IRA and therefore no means of bringing terrorism itself under control. 
And even if a total or partial ending of internment enabled 
political talks to start a fully armed terrorist organization in the background with its ranks re-filled would inevitably dominate the course of any negotiations.",J_Political-Strategic,5
"It is difficult to visualize any solid advantages which might outweigh 
these security objections.
",J_Emergency-Policy,8
"Any other course would it is felt carry with it
",J_Terrorism,0
"The need for internment to continue may have to be spelt out more effectively. For this purpose it is proposed to give as much publicity as possible 
to a general defence of the policy and to the correcting of some of the grosser forms of misrepresentation to which it has been subjected.",J_Misc,4
"defeated can in any way assist towards a political solution. 
Nor is it easy to see how the ending of internment before the IRA are The opposition 
have no control over the IRA and therefore no means of bringing terrorism itself under control. 
And even if a total or partial ending of internment enabled 
political talks to start a fully armed terrorist organization in the background with its ranks re-filled would inevitably dominate the course of any negotiations.
",J_Terrorism,0
"that security grounds rule out any releases other than through the machinery of the Advisory Committee.
",J_Emergency-Policy,8
that security grounds rule out any releases other than through the machinery of the Advisory Committee.,J_Legal_Procedure,7
oe relaxation would anyway be justified on security,J_Legal_Procedure,7
"in particmiss, eins internment has so clearly become the 
central factor in the Catholic’cmmunity’s willingness or wnwillingnese to o-operate, it would be both feasible and essential 
- in a situation of much-reduced terrorism - for the 
Governmentf broad hints to include some indication of willingness to modify the internment policy,
",J_Political-Strategic,5
"(This is in fact an option which should be open to the Government not only in the context of would-b traces but also in the event of any signs of a political thaw following fresh initiatives,)",J_Political-Strategic,5
oe relaxation would anyway be justified on security,J_Emergency-Policy,8
"in particmiss, eins internment has so clearly become the 
central factor in the Catholic’cmmunity’s willingness or wnwillingnese to o-operate, it would be both feasible and essential 
- in a situation of much-reduced terrorism - for the 
Governmentf broad hints to include some indication of willingness to modify the internment policy,",J_Terrorism,0
"In spite of successes against the IRA it may still be claimed that the present strategy of attrition offers steadily diminishing returns in terms of opportunities for a political settlement.
",J_Misc,4
The Joint Security Committee have noted these conclusions and have accepted,J_Emergency-Policy,8
"The process of internment has provided, and continues to provide, a flow of intelligence on the membership, resources and plans of the IRA. 
interrupted the IRA could re-group with impunity. 7. 
If this flow were",J_Misc,4
The Joint Security Committee have noted these conclusions and have accepted,J_Legal_Procedure,7
"Any decision to make no further arrests would be regarded by the IRA as a still greater achievement; they could be expected to take the opportunity to recoup their losses and to equip themselves to intensify operations at a date of their own choosing. 
Those on the run would be encouraged to return to their units.
",J_Misc,4
"All internees are, on the evidence available, either members of the IRA or otherwise involved in terrorism, and there is no pool of mere political activists from which releases can be made.",J_Terrorism,0
"campaign to end internment and the belief that it rill succeed keeps their morale higher than is generally the case with men still at large.
",J_Misc,4
"The IRA would regard any programme of release for political reasons as an important success. 
and the general public. 
It would also be so regarded by members of the Security Forces The IRA could, therefore, dictate future terms.
",J_Misc,4
"There is, therefore, the likelihood that internees 
released as a political gesture would return to their previous activities and so repair the substantial damage which has been inflicted on both factions of the IRA since 9 August 1971.
",J_Misc,4
"If internees were released prematurely, ie before the IRA were defeated, the prime targets for retaliatory action would undoubtedly be the members of the Special Branch of the RUC: these are for the most part known to those internees whom they have arrested or interrogated.",J_Utilitarian-Deterrence,10
"At all times I have consistently emphasized that it was not a step towards which I would be moved by any political clamour. Equally, I cannot now allow the prospect of any misrepresentation to deflect me from my duty to act.",J_Misc,4
"Nor is it in any way punitive or indiscriminate.
",J_Denial,3
"The main target of the present operation is the Irish 
Republican Army.which has been responsible for recent acts of terrorism, and whose victims have included Protestant and Roman Catholic alike",J_Denial,3
"I have taken this serious step solely for the protection 
of life and security of property in Northern Ireland.
",J_Emergency-Policy,8
"They are the present threat: but we will not hesitate to take strong action against any other individuals or organisations who may present such a threat in the future.
",J_Terrorism,0
"We may yet have much to endure as a community: but if we endure it with courage and steadiness, the utter defeat of terrorism is sure.",J_Terrorism,0
"This is not action taken against any responsible and las- 
abiding section of the community.
",J_Law-and-order,9
"It is with understandable reluctance that one uses these 
exceptional powers, but the organisations concerned are those which have murdered in cold blood, created situations which have led to death or injury to people quite uninvolved in disorder, maimed numerous people including young children and put at risk the jobs and the whole future of ntire communities.",J_Development-Unity,6
"Its benefits should be felt not least in those areas where violent men have exercised a certain sway by threat and intimidation over decent and responsible men and women.
",J_Law-and-order,9
"It is with understandable reluctance that one uses these 
exceptional powers, but the organisations concerned are those which have murdered in cold blood, created situations which have led to death or injury to people quite uninvolved in disorder, maimed numerous people including young children and put at risk the jobs and the whole future of ntire communities.",J_Law-and-order,9
I ask those who will quite sincerely consider the use of internment powers as evil to answer honestly this question:Is it more of an evil than to allow the perpetrators of these outrages to remain at liberty?,J_Utilitarian-Deterrence,10
"of access to an advisory committee, which will hear representations for release and make recommendations to me.
",J_Denial,3
"It is with understandable reluctance that one uses these 
exceptional powers, but the organisations concerned are those which have murdered in cold blood, created situations which have led to death or injury to people quite uninvolved in disorder, maimed numerous people including young children and put at risk the jobs and the whole future of ntire communities.
",J_Terrorism,0
"It is with understandable reluctance that one uses these 
exceptional powers, but the organisations concerned are those which have murdered in cold blood, created situations which have led to death or injury to people quite uninvolved in disorder, maimed numerous people including young children and put at risk the jobs and the whole future of ntire communities.",J_Emergency-Policy,8
"The main target of the present operation is the Irish 
Republican Army.which has been responsible for recent acts of terrorism, and whose victims have included Protestant and Roman Catholic alike
",J_Terrorism,0
"In purely military terms, seeking to contain the deteriorating situation by the means employed hitherto would have [meant a] best in long haul;",J_Last-resort,11
"For our part, we made it clear that there could be no question of our accepting internment, and instructing our forces to help to implement it, if it was not accompanied by a complete ban on marches and parades of all kinds; and we have made clear our present view that that ban will need to remain in force though the extension 
six months remains 
formally open for discussion.",J_Political-Strategic,5
Faulkner’s judgment was that the consequences of that for the community would be worse than the consequences of what is now proposed.,J_Utilitarian-Deterrence,10
"But I judged from our Ambassador’s report of his recent talk with you that there was no prospect of that, and I could not therefore hold out this possibility as an 
inducment to Faulkner",J_Misc,4
escalate their campaign have made it impossible for him to resist the pressures on him for more drastic action to [] the deterioration of morale and the undermining of economic and social stability in Norther Ireland.,J_Development-Unity,6
"That is his judgment of the situation, and of 
course the decision is his, though he has reached it after consultation with us.
",J_Misc,4
Clearly the effectiveness of interment in Northern Ireland could have been increased if you had felt able to take similar measures on your side of the border.,J_Intl-Domestic_Precedent,1
escalate their campaign have made it impossible for him to resist the pressures on him for more drastic action to [] the deterioration of morale and the undermining of economic and social stability in Norther Ireland.,J_Terrorism,0
"he document of authority for arrest night be used to Justify an arrest under togulation 10 or regulation 11 of th Civil Authorities (peoisa. 
1 warn you Powers) 
Act (Northern Ireland) I22, There is also a pOwer of arrest conferred by BSotion 7(1) of the Act, but in different torms to, and with results differont from what follows on any arrest purported to e made under Regulationa 10 or 11.",J_Legal_Procedure,7
"""I am arresting you under the powera co nerred by the Civil Auhorritis (speoisa vowerm) At (Northarn Ireland) 1922"". If the person arrestow questiono the Authority for thO Arrest, t’ by asking what ofenooe he hs uommitted or under what Regulation he is avrrsted tho oldier making the arrent is to say "" 
am not required to give any furthr explanation. that if yourssaresyou may be committing an offenoe"".
",J_Legal_Procedure,7
"V1efer1,0i to abovP ra rl su Esct ofr havn 9t atml.1eºd anr off’erse againM tigulatien ehlA made under the UivW nuthOrrities (gpasiaol Power+,) An4 (Nettorhrn Ireland) 190, Under 14egulatiion 1l made und01e that Ant any m fifr of’ har Majesty’ Purees on duty, when 0h Moeauioan for the Arrest arises, may arreat’ without warrant any"" Pesn Who is AUspected of having ornmtted an offenoe ataint the hesulAtlonA,
",J_Legal_Procedure,7
"Each case will have to be reviewed and the time 
that that takes may provide the spacing necessary.
",J_Misc,4
"mitigated by the fact that it is unreasonable to suppose that all the least dangerous internees can be released at once.
",J_Misc,4
"The Chief Constable and the GOC would be given 
the opportunity to comment on each case just before the revocation orders were submitted for signature, so that the local situation can be taken into account in relation to each man released.",J_Misc,4
"The requiring of such an oath by internees has a long 
history on both sides of the border; and the RUC Special Branch whose members are most at risk, would be greatly concerned if it were abandoned.",J_Political-Strategic,5
"Political progress in Northern Ireland is bound to be impeded so long as violence and intimidation continue; and the purpose of internment, and of the Army’s measures which are directed impartially at violence from whatever quarter, is to restore to Northern Ireland the necessary degree of stability for further political advance.",J_Emergency-Policy,8
"Political progress in Northern Ireland is bound to be impeded so long as violence and intimidation continue; and the purpose of internment, and of the Army’s measures which are directed impartially at violence from whatever quarter, is to restore to Northern Ireland the necessary degree of stability for further political advance.",J_Denial,3
"Political progress in Northern Ireland is bound to be impeded so long as violence and intimidation continue; and the purpose of internment, and of the Army’s measures which are directed impartially at violence from whatever quarter, is to restore to Northern Ireland the necessary degree of stability for further political advance.",J_Development-Unity,6
"Major Chichester-Clark said that there were three 
possible sets of circumstances in which the Northern Ireland Government might be faced with the inevitability of a decision to introduce internment:(i) if the Government of the Republic started to intern; 
(ii) if the IRA proceeded to a campaign of political assassination; 
(iii) if it proved impossible otherwise to break the ""wall of silence"".",J_Last-resort,11
"Major Chichester-Clark said that there were three 
possible sets of circumstances in which the Northern Ireland Government might be faced with the inevitability of a decision to introduce internment:(i) if the Government of the Republic started to intern;",J_Intl-Domestic_Precedent,1
"Major Chichester-Clark said that there were three 
possible sets of circumstances in which the Northern Ireland Government might be faced with the inevitability of a decision to introduce internment",J_Misc,4
"Major Chichester-Clark said that there were three 
possible sets of circumstances in which the Northern Ireland Government might be faced with the inevitability of a decision to introduce internment:(i) if the Government of the Republic started to intern; 
(ii) if the IRA proceeded to a campaign of political assassination;",J_Emergency-Policy,8
"modifications would be needed before ehe c 
safelyy be-used for that purpose.",J_Denial,3
"We would use the procedures of the Advisory Body to help us to decide who should be let out and how the present rate of release 
- 44 so far - could 
be speeded up.
",J_Intl-Domestic_Precedent,1
"All this without prejudice to the continued need to put 
internees on trial, wherever possible under the existing law.",J_Denial,3
"procedures for internment, it is better that these should be let out, possibly in batches.",J_Political-Strategic,5
Such changes in procedure would not require legislation.,J_Intl-Domestic_Precedent,1
"and the alternative 
i use of. the buildings as accommodation for ritiah troops.",J_Denial,3
"It is rolovant that both Ur Chicheator-Clarke and Ur Faulknor Javo stated that.-they would. 
onl .contemplate internment .if the Security Foroos advised in favour of it.",J_Emergency-Policy,8
"he need for an nternont’ < 
camp as an instrument of the fight against terrorism .to which: both H.I.G. and thoStormont Govornmont are committed",J_Terrorism,0
"In -a .direct rule situation - and this is perhaps thd moot likely situation in which internment miDet be seen to be required - the deoision to intern would lie with tho Westminter Government alone,",J_Misc,4
"The leaders of this campaign are using every technique available to 
bypass the ordinary processes of democracy and to over-ride the wishes of the great majority of law-abiding citizens.",J_Emergency-Policy,8
The danger of not taking firm measures to defeat the I.R.A. lies precisely in,J_Terrorism,0
"We are at present engaged in a deadly struggle against an armed 
conspiracy whose immediate purpose it is to destroy the peace, stability and security of this part of the United Kingdom. 
I say the immediate purpose. The ultimate purpose is the overthrow by violence the clear and 
democratically expressed wish of the majority of the people of Northern Ireland to remain part of the United Kingdom. 
Neither the I.R.A., nor 
indeed any other organisation, will be allowed to achieve this by force of arms, though the present campaign of violence may have gained the support of some, who while professing to deplore the methods of the I.R.A., are in sympathy with its aims.
",J_Terrorism,0
"Since 9th August persons have been detained under Orders made by me as Civil Authority under the Special Powers Act. 
I have now made Orders interning 219 of these persons. Other detainees have been released 
on the direction of the Atto rney-General, or their cases are still under consideration.",J_Legal_Procedure,7
"The Northern Ireland Government 
is fully committed to and has taken effective steps to implement the principle of securing for the minority here the fullest possible opportunity to participate in the running of affairs within the framework of democratic government.
",J_Development-Unity,6
The danger of not taking firm measures to defeat the I.R.A. lies precisely in,J_Development-Unity,6
"The effectiveness of internment north of the border 
would be greater if the Irish Government were prepared to introduce internment south of the border at the same time; but all that we know of the Irish Government’s policies suggeststhat there is no possibility of parallel action south of the border.",J_Intl-Domestic_Precedent,1
"The marches due in Derry 
on 12 August and in Belfast at the end of the month will not take place.",J_Political-Strategic,5
"We have made clear our view that 
the measures taken should not discriminate as between the different sections of the community, except as the facts of the situation make inevitable.
",J_Political-Strategic,5
"forces to help to implement it, if it was not accompanied by a complete ban on marches and parades of all kinds;
",J_Political-Strategic,5
"An advisory committee will be set up, to which 
any one who is interned will have the right to make representations.",J_Denial,3
"I have however sent a message to Lynch, asking him to react with understanding, even if with regret, and emphasising that we hope that these measures can be strictly temporary",J_Misc,4
"I am sending you this message to let you know 
that the Prime Minister of Northern Ireland will very shortly be announcing that, in the light of the latest assessment of the security situation in Northern Ireland and all other relevant factors, and after consultation with the British Government, the Northern Ireland Government has decided to activate its powers of internment.",J_Legal_Procedure,7
He will at the same time announce that all marches and parades are banned until further notice.,J_Political-Strategic,5
"I am sending you this message to let you know 
that the Prime Minister of Northern Ireland will very shortly be announcing that, in the light of the latest assessment of the security situation in Northern Ireland and all other relevant factors, and after consultation with the British Government, the Northern Ireland Government has decided to activate its powers of internment.
",J_Misc,4
The latest series of acts of terrorism by the I.R.A. and their recent.,J_Development-Unity,6
"When Faulkner came to London last week,-he told us that he had come to the inclusion that internment was now the right and indeed inevitable course.",J_Misc,4
The security forces are [currently] arresting and detaining people suspected of responsibility for committing or abetting acts of terrorism and other breaches of the peace designed to lead to a breakdown of law and order in Northern Ireland.,J_Terrorism,0
The security forces are [currently] arresting and detaining people suspected of responsibility for committing or abetting acts of terrorism and other breaches of the peace designed to lead to a breakdown of law and order in Northern Ireland.,J_Law-and-order,9
"I am sending you this message to let you know 
that the Prime Minister of Northern Ireland will very shortly be announcing that, in the light of the latest assessment of the security situation in Northern Ireland and all other relevant factors, and after consultation with the British Government, the Northern Ireland Government has decided to activate its powers of internment.",J_Emergency-Policy,8
"will at the same time announce that all marches 
and parades are banned until further notice.",J_Political-Strategic,5
The latest series of acts of terrorism by the I.R.A. and their recent.,J_Terrorism,0
"Mr West, the Minister for Agriculture and the most right wing 
member of Mr Faulkner’s Cabinet, said in a radio interview on 29 August that he was satisfied with Mr Faulkner’s policies at the moment. He thought Mr Paisley had recently made errors of judgement which had reduced Mr Paisley’s support. He spoke harshly both of Mr Lynch, whose attempts at interference he deplored and of Mr Wilson for his statements on internment (see HONIP(71) 34 paragraph 2).",J_Misc,4
Newspapers reported that it was decided that no criminal charges could be brought against him and he was returned on the grounds that his presence was not in the interests of national security.,J_Emergency-Policy,8
"Specific safeguards were incorporated, which have been in operation since 7 November 1972, as follows",J_Denial,3
"The Government therefore appointed a Commission, composed of distinguished laymen and lawyers, and chaired by a most eminent judge of the House of Lords, Lord Diplock",J_Legal_Procedure,7
"The Commission was asked to find out whether terrorist activity could be dealt with by the criminal courts. In December 1972 they reported that, because witnesses were intimidated or afraid to give evidence, no criminal procedure which satisfied the requirements of Article 6 of the European Convention of Human Rights could effectively bring terrorists to justice.",J_Terrorism,0
"The procedures for internment which HMG had 
inherited were far from satisfactory, and there was the general question whether any special procedures for detention were necessary at all.
",J_Misc,4
"While the Commission was deliberating, the 
Government proposed, and Parliament in Westminster approved, the abolition of internment by the Executive as it had been practised 
Northern 
Ireland law, and the enactment, as an interim measure pending the Commission’s Report, procedures for detention.
",J_Denial,3
"While the Commission was deliberating, the 
Government proposed, and Parliament in Westminster approved, the abolition of internment by the Executive as it had been practised 
Northern 
Ireland law, and the enactment, as an interim measure pending the Commission’s Report, procedures for detention.",J_Misc,4
It has always been a long-term aim to phase out internment but we must await the results of the cease-fire before consideration can be given to any further steps towards the restoration of normality.,J_Emergency-Policy,8
It has always been a long-term aim to phase out internment but we must await the results of the cease-fire before consideration can be given to any further steps towards the restoration of normality.,J_Misc,4
"As soon as responsibility has been transferred an immediate 
review will be put in hand by this Government of all internment orders with a view to revoking as many of them as possible consistent with public safety. The Government have taken this decision after consultation with their military advisors.
",J_Emergency-Policy,8
The pace of releases will depend on the state of public security and the effect upon it of the release of particular internees whose cases are under review.,J_Emergency-Policy,8
