,image_id,file_id,img_file_orig,justification,occurances,transcribed_text,handwriting,transcribed_handwriting,notes,,,11 in 20 min,33 in one hour,Total task: 5-6 hours (178 entries)
8309,IMG_1938,DEFE_13_919,IMG_1938_DEFE_13_919,J_Terrorism,1,"Our approach 1. ""Terrorism"" no doubt connotes violence, and violence for political ends. This could arise under normal conditions, in which case those suspected of such conduct would be dealt with in the same way as any other persons suspected of crime. We do not, however, construe our terms of reference as including in our inquiry ordinary police interrogation. We have accordingly confined our inquiry to interrogation in circumstances where some public emergency has arisen as a result of which suspects can legally be detained without trial.",,,,,,,,
2800,IMG_1942,DEFE_13_919,IMG_1942_DEFE_13_919,J_Intelligence,1,"Coming to recent times, the position in Northern Ireland prior to August 1971 was that the Security Forces were in need of hard intelligence. Information obtained by the R.U.C. by ordinary police interrogation had failed to provide anything but a general picture of the I.R.A. organization.",,,,,,,,
2801,IMG_1942,DEFE_13_919,IMG_1942_DEFE_13_919,J_Intelligence,2,"20. As a direct result of these two operations the following new information was obtained: (1) Identification of a further 700 members of both I.R.A. factions, and their positions in the organisations. (2) Over 40 sheets giving details of the organisation and structure of I.R.A. units and sub-units. (3) Details of possible I.R.A. operations; arms caches; safe houses; communications and supply routes, including those across the border; and locations of wanted persons. (4) Details of morale, operational directives, propaganda techniques, relations with other organisations and future plans. (5) The discovery of individual responsibility for about 85 incidents recorded on police files which had preivously remaind unexplained. 21. It is also not without significance that the rate at which arms, ammunication nad explosives discovered in Northern Ireland by the Security Forces increased markedly after 9th August, and much the greater part of the haul has resulted either directly or indirectly from information obtained by interrogation in depth. Details of the total amount discovered in 1971 are as follows: 1 January to 8 August, 9 August to 31 December: Machine guns: 1, 25; Rifles: 66, 178; Pistols/Revolvers: 86, 158; Shotguns: 40, 52; Rockets: --, 55; Ammunition: 41000 rounds, 115000 rounds; Explosives: 1194 lbs., 2541 lbs.",,,,,,,,
2802,IMG_1942,DEFE_13_919,IMG_1942_DEFE_13_919,J_Intelligence,3,"So far as the operations in Northern Ireland are concerned, however, the information given was quickly proved to be correct except in a few cases in which incorrect descriptions were given of persons who could not be identified by name. 23. A further advantage was the ""snowball"" effect generated by following up the information thus obtained. Moreover, the indirect effect of these two operations of interrogation was that further information could be, and was, more readily obtained by ordinary police interrogation.",,,,,,,,
2009,IMG_1944,DEFE_13_919,IMG_1944_DEFE_13_919,J_Emergency-Policy,1,"The public emergencies in which alone we are concerned, though short of war in its ordinary sense, are in many ways worse than war. Guerilla warfare will be taking place within the country; friend and foe will not be identifiable; the rebels may be ruthless men determined to achieve their ends by indiscriminate attacks on innocent persons. If information is to be obtained, time must be of the essence of the operation.",,,,,,,,
2814,IMG_1944,DEFE_13_919,IMG_1944_DEFE_13_919,J_Intelligence,1,"The public emergencies in which alone we are concerned, though short of war in its ordinary sense, are in many ways worse than war. Guerilla warfare will be taking place within the country; friend and foe will not be identifiable; the rebels may be ruthless men determined to achieve their ends by indiscriminate attacks on innocent persons. If information is to be obtained, time must be of the essence of the operation.",,,,,,,,
2016,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Emergency-Policy,1,"b. Release of Hard-Core (119 persons). GOC and Chief Constable have submitted a list of NIO, by rank and employment, of those whose release would be particularly dangerous on security grounds. The greatest risk attaches to the 8 Battalion Commanders and 19 Explosive Officers.",,,,,,,,
6230,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Misc,1,"In the GOC's view, these releases would represent further concessions to the IRA without any concessions on their part.",,,,,,,,
6231,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Misc,2,"d. Effect on the Army. COG thought that morale, particularly of units in the hard areas, would certainly suffer. Soldiers now regarded the Provisionals collectively as 'murderers'. Already they found it hard to understand that IRA volunteers, whom they believed to be shooting at them, should not be arrested. It was even worse when they saw men whom they had previously captured, who had been responsible for planning operations and the control of arms, even if not actually for killing, allowed their freedom to do these things again. ",,,,,,,,
7252,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Political-Strategic,1,"However, he would not oppose it if there were thought to be real political advantages.",,,,,,,,
7253,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Political-Strategic,2,"Other important factors are the effect of releases of the hard-core on Protestant opinion, and on the security forces.",,,,,,,,
7254,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Political-Strategic,3,"c. Effect on Loyalists. GOC thought that, apart from aggravation to UDA and other extremists at a particularly difficult moment, release of hard-core Provisionals would destroy what confidence the 'silent majority' had in the security authorities.",,,CODED WRONG?,,,,,
9184,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Utilitarian-Deterrence,1,Current statistics are that 30 out of the 341 so far released have been charged for fresh offenses and there is good intelligence that a further 64 are active again in the Provisional IRA.,,,,,,,,
9185,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Utilitarian-Deterrence,2,"d. Effect on the Army. COG thought that morale, particularly of units in the hard areas, would certainly suffer. Soldiers now regarded the Provisionals collectively as 'murderers'. Already they found it hard to understand that IRA volunteers, whom they believed to be shooting at them, should not be arrested. It was even worse when they saw men whom they had previously captured, who had been responsible for planning operations and the control of arms, even if not actually for killing, allowed their freedom to do these things again. ",,,,,,,,
7259,IMG_1964,DEFE_13_919,IMG_1964_DEFE_13_919,J_Political-Strategic,1,"3. The GOC concluded that in his view only a really major political dividend, which he personally could not see, would justify the release of the 119 Provisional hardcore. He was therefore strongly opposed to it.",,,,,,,,
3563,IMG_2152,DEFE_24_1214,IMG_2152_DEFE_24_1214,J_Law-and-order,1,"The only circumstances in which he would consider making such a recommendation are those of a security situation actually or potentially very much worse than the present; for example, if the security forces were unable to cantain the terrorists sufficiently to prevent frequent major bomb outrages or attacks on police stations, or if the IRA received substantial reinforcements from the Republic at a time when a major political issue made it easy for them to call large crowds out onto the streets.",,,CODED WRONG?,,,,,
3564,IMG_2152,DEFE_24_1214,IMG_2152_DEFE_24_1214,J_Law-and-order,2,"The persons earmarked for arrest, of whom a handful are Protestants, are persons whose removal from the active scene would, ",,,CODED WRONG?,,,,,
8323,IMG_2152,DEFE_24_1214,IMG_2152_DEFE_24_1214,J_Terrorism,1,"The only circumstances in which he would consider making such a recommendation are those of a security situation actually or potentially very much worse than the present; for example, if the security forces were unable to cantain the terrorists sufficiently to prevent frequent major bomb outrages or attacks on police stations, or if the IRA received substantial reinforcements from the Republic at a time when a major political issue made it easy for them to call large crowds out onto the streets.",,,,,,,,
2030,IMG_2153,DEFE_24_1214,IMG_2153_DEFE_24_1214,J_Emergency-Policy,1,"In most cases they are known to be, or there is good reason to suppose that they are, members of organisations proscribed as illegal in Regulation 24A made under the Special Powers Act.",,,CODED WRONG?,,,,,
2031,IMG_2153,DEFE_24_1214,IMG_2153_DEFE_24_1214,J_Emergency-Policy,2,"Persons arrested would, under their initial interrogation indicated that no purpose would be served by detaining them beyond the period of 48 hours proscribed in Regulation 10 made under the Special Powers Acts, be detained in accordance with Regulation 11 until such time (probably between 7 and 28 days) as they were either discharged by",,,,,,,,
3570,IMG_2153,DEFE_24_1214,IMG_2153_DEFE_24_1214,J_Law-and-order,1,"it is considered, materially ease the [] of the security forces in maintaining peace and order.",,,,,,,,
2037,IMG_2154,DEFE_24_1214,IMG_2154_DEFE_24_1214,J_Emergency-Policy,1,"by direction of the attorney general, or brought before a court of summary jurisdiction, or made the subject of an order by the Minister of Home Affairs for internment under Regulation 12. For this last category the period of internment would be indefinite.",,,CODED WRONG?,,,,,
2038,IMG_2154,DEFE_24_1214,IMG_2154_DEFE_24_1214,J_Emergency-Policy,2,5. Persons detained or interned will be held incommunicado under Regulation 13 (which is applicable both to Regulation 11 detainees and to Regulation 12 internees) for such period as is necessary for effective interrogation.,,,,,,,,
3227,IMG_2155,DEFE_24_1214,IMG_2155_DEFE_24_1214,J_Last-resort,1,"Nevertheless he has considered the following additional measures that might be adopted, if only for [] purposes, as alternatives to internment and the banning of the march.",,,,,,,,
2044,IMG_2156,DEFE_24_1214,IMG_2156_DEFE_24_1214,J_Emergency-Policy,1,It is not easy to see how a decision to intern could be presented otherwise than by reference to the security situation.,,,,,,,,
3577,IMG_2156,DEFE_24_1214,IMG_2156_DEFE_24_1214,J_Law-and-order,1,It is not easy to see how a decision to intern could be presented otherwise than by reference to the security situation.,,,CODED WRONG?,,,,,
217,IMG_2187,DEFE_24_1214,IMG_2187_DEFE_24_1214,J_Denial,1,(2) The time allowed for a person to make really important domestic arrangements before being taken away. (Particularly with regard to women),,,,,,,,
7294,IMG_2189,DEFE_24_1214,IMG_2189_DEFE_24_1214,J_Political-Strategic,1,"On no account, from 1919-21 experience, should a policy once started be abandoned. Hunger strikers must not be released. No breathing room must be given to the IRA.",,,,,,,,
7295,IMG_2189,DEFE_24_1214,IMG_2189_DEFE_24_1214,J_Political-Strategic,2,The return to comparative calm will eventually win over the vast majority and isolate the extremists completely.,,,,,,,,
2128,IMG_2190,DEFE_24_1214,IMG_2190_DEFE_24_1214,J_Emergency-Policy,1,3. Martial Law should have been declared earlier and have taken in the whole country.,,,,,,,,
7301,IMG_2190,DEFE_24_1214,IMG_2190_DEFE_24_1214,J_Political-Strategic,1,"2. A policy once started, should not be given up: eg: release from detention of IRA hunger strikers was a grave error.",,,,,,,,
224,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Denial,1,Adequate provision for detainees in detention camps must be planned well in advance.,,,,,,,,
2135,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Emergency-Policy,1,"1. Internment may not be the only solution and can never be the final answer, but it is shown to be the most effective method used in containing the rebellion. It finally broke the back of the IRA. Only the truce gave them the breathing space to reorganise.",,,,,,,,
2136,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Emergency-Policy,2,3. Internment was the natural progression of a campaign which had failed to defeat the rebels when acting within the limits of civil law as it existed then.,,,CODED WRONG?,,,,,
7308,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Political-Strategic,1,"2. Initially the reactions of the civil population were against internment, but after its inception they reacted favourably to a return of comparative peace, and were prepared to pass information to the Crown Forces.",,,,,,,,
7309,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Political-Strategic,2,"4. Internment may have small beginnings but quickly snowballs. This is because hard intelligence is fairly quickly forthcoming from the new detainees, and also because the public at large becomes more free with its information once internment is ordered. Adequate provision for detainees in detention campus must be planned well in advance.",,,,,,,,
7371,IMG_2213,DEFE_24_1214,IMG_2213_DEFE_24_1214,J_Political-Strategic,1,"I think that we can be sure that one point on which John Peck will come back is that, if we do not cancel the Apprentice Boys March on 12 August, Mr. Lynch will be that much more unreceptive to any approach we may make.",,,,,,,,
4823,IMG_2217,DEFE_24_1214,IMG_2217_DEFE_24_1214,J_Legal_Procedure,1,"The current regulations for internment are covered under regulations 11 and 12 of the Special Powers Act, these were used during 1956-1961.",,,,,,,,
7385,IMG_2217,DEFE_24_1214,IMG_2217_DEFE_24_1214,J_Political-Strategic,1,16. It would assist if a number of extreme Protestants are interned at the same time.,,,,,,,,
4837,IMG_2233,DEFE_24_1214,IMG_2233_DEFE_24_1214,J_Legal_Procedure,1,"2. Regulation 11 conferes powers of detention and in practice further action is called for - to release, to intern or to charge under criminal legislation - within a period of about 7 days. It is not thought that these powers are much in point at present.",,,,,,,,
4844,IMG_2234,DEFE_24_1214,IMG_2234_DEFE_24_1214,J_Legal_Procedure,1,"The third point in internment, about which there has been discussion. It is a power which exists and resides in the Government at Stormont under the Special Powers Act, but there is an understanding that they will not employ that power without consultation with the Government there.",,,,,,,,
9212,IMG_2234,DEFE_24_1214,IMG_2234_DEFE_24_1214,J_Utilitarian-Deterrence,1,"I believe, as I have said already outside this House, that this is more a decision of practice than of principle. Internment is a hideous step to have to take, but it is no more hideous than a campaign of murder. Therefore, we should assess whether it would make a contribution to the cessation of the campaign.",,,,,,,,
2170,IMG_2235,DEFE_24_1214,IMG_2235_DEFE_24_1214,J_Emergency-Policy,1,2. Although fundamentally the situation has not changed since April when this was discussed in London we both recognise that circumstances could still arise very suddenly which might require a quick decision on internment. Examples are: A. The death of civilians in an indiscriminate bomb attack. B. A successful attack on the main railway line with loss of life. In cases such as these the local reaction might well be such as to olige us to consider this measure very quickly.,,,,,,,,
7399,IMG_2235,DEFE_24_1214,IMG_2235_DEFE_24_1214,J_Political-Strategic,1,2. Although fundamentally the situation has not changed since April when this was discussed in London we both recognise that circumstances could still arise very suddenly which might require a quick decision on internment. Examples are: A. The death of civilians in an indiscriminate bomb attack. B. A successful attack on the main railway line with loss of life. In cases such as these the local reaction might well be such as to olige us to consider this measure very quickly.,,,,,,,,
385,IMG_2295,DEFE_24_1214,IMG_2295_DEFE_24_1214,J_Denial,1,g. A ship gives extremely cramped conditions and lack of space for exercise.,,,,,,,,
154,IMG_2327,DEFE_13_917,IMG_2327_DEFE_13_917,J_Denial,1,(These rules follow the broad principles for the treatment of persons under arrest or detention during civil disturbances as laid down in Article 3 of the Geneva Convention relative to the Treatment of Prisoners of War (1949)).,,,,,,,,
7245,IMG_2391,DEFE_13_917,IMG_2391_DEFE_13_917,J_Political-Strategic,1,"In passing, he told us that he understood that at this meeting General Tuzo had expressed opposition to internment and that he, [Pearie], had come to the conclusion that the internment decision was taken by politicians against the wishes of the army.",,,,,,,,
2317,IMG_4854,PREM_15_475,IMG_4854_PREM_15_475,J_Emergency-Policy,1,"1. Major Chichester-Clark has been publicly asked from time to time in recent months whether he is contemplating internment. The standard reply which he has evolved is that his security advisers - the GOC and the Chief Constable - do not recommend it at present, but if they were to recommend it he would not hesitate to act.",,,,,,,,
4921,IMG_4938,PREM_15_475,IMG_4938_PREM_15_475,J_Legal_Procedure,1,"Authority for arrest is contained in a document discovered in the Affidavid of Mr. Shillington. So far as material, it provides as follows:- 1. By virture of the authorisation given to me by an Officer of the Royal Ulster Constabulary, units of the Brigade are to effect the arrest without warrant of those named in Appendix 1 to this Order and their detention for a period of not more than 48 hours for the purpose of interrogation at a suitable Police Office.",,,,,,,,
4977,IMG_5089,PREM_15_475,IMG_5089_PREM_15_475,J_Legal_Procedure,1,You will know that I set up a Committee of Inquiry under the Chairmanship of Sir Edmund Compton to investigate allegations against the security forces of physical brutality in Northern Ireland arising out of events on 9th August when a large number of arrests were made consequential on the decision of the Government of Northern Ireland to give effect to their powers of detention and internment. ,,,,,,,,
2919,IMG_5241,PREM_15_485,IMG_5241_PREM_15_485,J_Intelligence,1,"The growing success of the British Army's efforts in Ulster to trace suspected IRA men and their weaponry stems, the Army claims, from an increasing flow of information. Privately, the Army acknowledges that most of this is coming from those already detained.",,,,,,,,
693,IMG_5589,PREM_15_480,IMG_5589_PREM_15_480,J_Denial,1,No one is being held either because of his political views or because he opposes the Government,Y,It is because of such involvement that persons are being held and not because of their political views or because they oppose the Government.,,,,,,
5173,IMG_5606,PREM_15_480,IMG_5606_PREM_15_480,J_Legal_Procedure,1,"1. Ministers here have agreed that the date now agreed for a tripartite summit means that it would hardly be possible to defer making internment orders until after the meeting. As far as we are concerned, therefore, the way is clear for the making of orders as soon as you have your appeal committee appointed.",,,,,,,,
5174,IMG_5606,PREM_15_480,IMG_5606_PREM_15_480,J_Legal_Procedure,2,Mr. [] suggests that the main stress of the statement should [] on the narrow scope of internment as defined in paragraph 2 and on the fact that the signing of the orders entitles internees to apply to the appeal committee. ,,,,,,,,
6895,IMG_5606,PREM_15_480,IMG_5606_PREM_15_480,J_Misc,1,Mr. [] suggests that the main stress of the statement should [] on the narrow scope of internment as defined in paragraph 2 and on the fact that the signing of the orders entitles internees to apply to the appeal committee. ,,,,,,,,
8897,IMG_5606,PREM_15_480,IMG_5606_PREM_15_480,J_Terrorism,1,"2. In the discussion which I had with your prime minister, which I have reported to ministers here, it was agreed that internment orders would only be made in respect of persons who there are reasonable grounds for thinking are actively associated with one or other branch of the IRA - or, if any such are subsequently detained, members of any other terrorists organisations.",,,,,,,,
9345,IMG_5687,PREM_15_481,IMG_5687_PREM_15_481,J_Utilitarian-Deterrence,1,A warrant has been issued for Gallagher's arrest on a charge of murder. He is a native of Strabane and was on the list of those wanted for internment. ,,,,,,,,
756,IMG_5722,PREM_15_481,IMG_5722_PREM_15_481,J_Denial,1,"Conditions at Long Kesh: We have been given the following information by the Northern Ireland Government in connection with today's Press Report appearing in the Morning Star about conditions at Long Kesh. 1. Accomodation: There are 40 men at present accommodated in huts originally planned for 34, but only parts of the camp have been completed and it is expected that with the completion of further building work in a fortnight's time this position will be relieved. 2. Cooking: Cooking is not done by electricity but by [] gas and the use of search lights therefore has no effect on the power available in the cook-hours; but there are electric hotplates in the mess halls and these developed a fault yesterday which was put right today. 3. Bunks: These are standard army issue. 4. Clothing: Internees were allowed to bring with them all the clothing they had in their possession. Those who wish to obtain a change of clothes can do so by having other garments brought in by relations or friends; alternatively if this is not possible clothing is issued to them. 5. Books: They were allowed to take in with them books they alread possessed and further supplies are being provided at Long Kesh as soon as possible. 75 newspapers are being provided free of charge daily.",,,,,,,,
763,IMG_5723,PREM_15_481,IMG_5723_PREM_15_481,J_Denial,1,"6. Television: A large television and a radio are provided in each hut. All are in good working order. 7. Heating: Huts are electrically heated and standards are considered adequate. 8. Searching: The searching of visitors is inevitable in present circumstances. P. Leychon; 21 September 1971. cc. Mr Woodfield, Mr Lindley, Mrs Birleson",,,,,,,,
8939,IMG_5766,PREM_15_481,IMG_5766_PREM_15_481,J_Terrorism,1,I said that it was deeply distressing but that the increasing activity and violence of the I.R.A. had left no alternative but the policy of internment.,,,,,,,,
6832,IMG_5801,PREM_15_479,IMG_5801_PREM_15_479,J_Misc,1,"Despite the considerable success of the internment operation and the possibility that it will in time bring terrorism under control, the bombing has not abated and the mood of the country is very bad and getting worse.",,,,,,,,
8771,IMG_5801,PREM_15_479,IMG_5801_PREM_15_479,J_Terrorism,1,"I said that in my view the IRA, to which he was evidently referring, did not constitute a ""section"" of the community.",,,CODED WRONG?,,,,,
8772,IMG_5801,PREM_15_479,IMG_5801_PREM_15_479,J_Terrorism,2,"Despite the considerable success of the internment operation and the possibility that it will in time bring terrorism under control, the bombing has not abated and the mood of the country is very bad and getting worse.",,,,,,,,
1134,IMG_5802,PREM_15_479,IMG_5802_PREM_15_479,J_Development-Unity,1,One of Mr Faulkner's chief arguments for internment (and it was a strong argument) was that continued terrorism was threatening the economy of the country.,,,,,,,,
7700,IMG_5802,PREM_15_479,IMG_5802_PREM_15_479,J_Political-Strategic,1,"Another argument, which I still believe to have been a strong one, was that in July there were clear signs of a Protestant mood to take matters into their own hands and deal with the Catholics themselves. This mood is reviving.",,,,,,,,
8778,IMG_5802,PREM_15_479,IMG_5802_PREM_15_479,J_Terrorism,1,One of Mr Faulkner's chief arguments for internment (and it was a strong argument) was that continued terrorism was threatening the economy of the country.,,,,,,,,
8785,IMG_5835,PREM_15_479,IMG_5835_PREM_15_479,J_Terrorism,1,It is one of the few buildings that the IRA have not tried to blow up!,,,,,,,,
9296,IMG_5835,PREM_15_479,IMG_5835_PREM_15_479,J_Utilitarian-Deterrence,1,A released internee is of greater news value than an army widow or a soldier or policeman doing his job.,,,CODED WRONG?,,,,,
9297,IMG_5835,PREM_15_479,IMG_5835_PREM_15_479,J_Utilitarian-Deterrence,2,Tell Wilson that if there had been more interned sooner there would be less bombs and bloodshed today.,,,,,,,,
4396,IMG_6110,PREM_15_483,IMG_6110_PREM_15_483,J_Legal_Procedure,1,"The government had this matter under consideration. They had received many reports from reliable people, including elected representatives and members of the legal proffession in the North. But, as yet, no decision had been taken on the matters referred to",,,,,,,,
5810,IMG_6110,PREM_15_483,IMG_6110_PREM_15_483,J_Misc,1,"It had been alleged that in the Republic we were tolerant of illegal organisations: that our controls were lax in regard to the storage and movement of explosives, and that consequently there was a good deal of illegal cross-border activity.",,,,,,,,
5215,IMG_6133,PREM_15_482,IMG_6133_PREM_15_482,J_Legal_Procedure,1,4. On internment Hume pursued the theme of the Special Court to sit without jury under a judge who commanded the respect of the minority.,,,,,,,,
5285,IMG_6239,PREM_15_482,IMG_6239_PREM_15_482,J_Legal_Procedure,1,"3. If the advisory committee examining the internees produces results which could have a good chance of getting the SDLP into the talks, it is all the more important to be able to say something in Dublin, even if only in private, about the point in paragraph 2.",,,,,,,,
4438,IMG_6315,PREM_15_484,IMG_6315_PREM_15_484,J_Legal_Procedure,1,(2) A detained person will be given full opportunities to make representations in writing to the Secretary of State regarding his case or his treatment.,,,,,,,,
3213,IMG_6421,PREM_15_486,IMG_6421_PREM_15_486,J_Intl-Domestic_Precedent,1,"There is however some mention in the British press today, related to the raid on the Sein Fein buildings, of action being taken by the Eire government to proceed with internment on their own.",y,"There is however some mention in the British press today, related to the raid on the Sein Fein buildings, of possible action being taken by the Republic to proceed with internment on their own.",,,,,,
1246,IMG_6461,PREM_15_1000,IMG_6461_PREM_15_1000,J_Emergency-Policy,1,"It is just possible, therefore, that, if the Government said publicly that internment would not be ended so long as violence persisted but that, if violence ceased, they would be prepared to consider ending internment and to legislate on the above lines, moderate opinion might be sufficiently rallied to compel Mr. Faulkner's more extreme supporters to accept this degree of amendment of the Stormont system.",,,,,,,,
7049,IMG_6461,PREM_15_1000,IMG_6461_PREM_15_1000,J_Political-Strategic,1,"It is just possible, therefore, that, if the Government said publicly that internment would not be ended so long as violence persisted but that, if violence ceased, they would be prepared to consider ending internment and to legislate on the above lines, moderate opinion might be sufficiently rallied to compel Mr. Faulkner's more extreme supporters to accept this degree of amendment of the Stormont system. It would, of course, be highly resented and actively opposed by the Protestant Right Wing; but, if it was the price of preserving the separate Parliament and some continuing degree of autonomy, local opinion might decide that it was a price worth paying.",,,,,,,,
3962,IMG_6468,PREM_15_1000,IMG_6468_PREM_15_1000,J_Legal_Procedure,1,"Prosecution of internees. 13. A check is being made on the statement by the spokesman of the Alliance party during the BBC debate programme, that there were some internees who could be prosecuted on the basis of evidence from solider witnesses alone - in which case intimidation would not be a problem (though identification might be).",,,,,,,,
1260,IMG_6477,PREM_15_1000,IMG_6477_PREM_15_1000,J_Emergency-Policy,1,"Internment. The meeting discussed, first, improvements in procedure, which the Northern Ireland Government are considering; second, the need to cater for the increasing number of internees (reinforcements from the English prison service are gradually moving over to Northern Ireland); and, third, the case for identifying the internees who could safely be let out when a definite improvement in the security situation permits it.",,,,,,,,
5418,IMG_6477,PREM_15_1000,IMG_6477_PREM_15_1000,J_Misc,1,on attacks on the houses of prominent individuals. ,,,,,,,,
7056,IMG_6479,PREM_15_1000,IMG_6479_PREM_15_1000,J_Political-Strategic,1,"8. Technically the complete ban on marches which was imposed concurrently with the introduction of internment was only for six months - and is therefore due to lapse at the end of January, if not renewed. For both political and military reasons it seems essential that the ban should in fact be continued and the GOC is accordingly pressing for it to be renewed.",,,,,,,,
3969,IMG_6489,PREM_15_1000,IMG_6489_PREM_15_1000,J_Legal_Procedure,1,Still held: under Regulation 10: 36,,,,,,,,
5432,IMG_6493,PREM_15_1000,IMG_6493_PREM_15_1000,J_Misc,1,"While he is here he will be asked for his assessment of whether, as some time has now elapsed since anyone was interrogated in depth, there is now less apprehension in the minds of detainees about the possibility of being put through the process - and, if so, whether there is correspondingly less willingness to give information under ordinary interrogation.",,,,,,,,
3976,IMG_6497,PREM_15_1000,IMG_6497_PREM_15_1000,J_Legal_Procedure,1,Some weeks ago another detainee who had similarly been unlawfully arrested was granted a writ of habeas corpus; the RUC rearrested him properly under the Special Powers Act immediately he was released).,,,,,,,,
3977,IMG_6497,PREM_15_1000,IMG_6497_PREM_15_1000,J_Legal_Procedure,2,This development will presumably not encourage the Northern Ireland authorities to prefer charges against men arrested under the Special Powers Act.,,,,,,,,
1267,IMG_6520,PREM_15_1000,IMG_6520_PREM_15_1000,J_Emergency-Policy,1,"Assume the military success is scored, what then? The advice that comes from Stormont is that in those circumstances, with intimidation lifted and lawful authority restored, the near-insurrection of large sections of the Roman Catholic community would come to an end. Constitutional politics could begin again, consent would be forthcoming, the corpus of legislative reform undertaken in the last two years would work through into the social system to everyone's benefit, consultations for institutional change could be begun on the lines indicated in Mr. Faulkner's Green Paper of October, and--in a word--normal service could be resumed.",,,,,,,,
3983,IMG_6538,PREM_15_1000,IMG_6538_PREM_15_1000,J_Legal_Procedure,1,"Mr. Faulkner has already undertaken to put forward composite proposals about the running of internment, which ought certainly to include those aspects of the matter - as well as the case for strengthening Judge Brown's committee so that it could work through more than one panel at a time.",,,,,,,,
