,image_id,file_id,img_file_orig,justification,level_4
5957,IMG_6635,PREM_15_1001,IMG_6635_PREM_15_1001,J_Misc,1
6006,IMG_6778,PREM_15_1002,IMG_6778_PREM_15_1002,J_Misc,1
6048,IMG_6925,PREM_15_1003,IMG_6925_PREM_15_1003,J_Misc,1
6237,IMG_0032,PREM_15_1010,PREM_15_1010_032,J_Misc,1
6286,IMG_6110,PREM_15_483,IMG_6110_PREM_15_483,J_Misc,1
6566,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Misc,1
6622,IMG_9322,PREM_15_1692,IMG_9322_PREM_15_1692,J_Misc,1
6692,IMG_1786,CJ_4_251,IMG_1786_CJ_4_251,J_Misc,1
6706,IMG_1837,CJ_4_458,IMG_1837_CJ_4_458,J_Misc,1
6713,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Misc,1
6762,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Misc,1
6763,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Misc,2
7140,IMG_0160,PREM_15_478,PREM_15_478_160,J_Misc,1
7238,IMG_0191,PREM_15_478,PREM_15_478_191,J_Misc,1
7245,IMG_0192,PREM_15_478,PREM_15_478_192,J_Misc,1
7252,IMG_0193,PREM_15_478,PREM_15_478_193,J_Misc,1
7259,IMG_0195,PREM_15_478,PREM_15_478_195,J_Misc,1
7301,IMG_0203,PREM_15_478,PREM_15_478_203,J_Misc,1
7315,IMG_0205,PREM_15_478,PREM_15_478_205,J_Misc,1
7322,IMG_0206,PREM_15_478,PREM_15_478_206,J_Misc,1
7371,IMG_5801,PREM_15_479,IMG_5801_PREM_15_479,J_Misc,1
7434,IMG_5606,PREM_15_480,IMG_5606_PREM_15_480,J_Misc,1
7588,IMG_6461,PREM_15_1000,IMG_6461_PREM_15_1000,J_Political-Strategic,1
7595,IMG_6479,PREM_15_1000,IMG_6479_PREM_15_1000,J_Political-Strategic,1
7798,IMG_2391,DEFE_13_917,IMG_2391_DEFE_13_917,J_Political-Strategic,1
7805,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Political-Strategic,1
7806,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Political-Strategic,2
7807,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Political-Strategic,3
7812,IMG_1964,DEFE_13_919,IMG_1964_DEFE_13_919,J_Political-Strategic,1
7847,IMG_2189,DEFE_24_1214,IMG_2189_DEFE_24_1214,J_Political-Strategic,1
7848,IMG_2189,DEFE_24_1214,IMG_2189_DEFE_24_1214,J_Political-Strategic,2
7854,IMG_2190,DEFE_24_1214,IMG_2190_DEFE_24_1214,J_Political-Strategic,1
7861,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Political-Strategic,1
7862,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Political-Strategic,2
7924,IMG_2213,DEFE_24_1214,IMG_2213_DEFE_24_1214,J_Political-Strategic,1
7938,IMG_2217,DEFE_24_1214,IMG_2217_DEFE_24_1214,J_Political-Strategic,1
7952,IMG_2235,DEFE_24_1214,IMG_2235_DEFE_24_1214,J_Political-Strategic,1
8099,IMG_0189,PREM_15_478,PREM_15_478_189,J_Political-Strategic,1
8106,IMG_0190,PREM_15_478,PREM_15_478_190,J_Political-Strategic,1
8148,IMG_0198,PREM_15_478,PREM_15_478_198,J_Political-Strategic,1
8162,IMG_0200,PREM_15_478,PREM_15_478_200,J_Political-Strategic,1
8176,IMG_0205,PREM_15_478,PREM_15_478_205,J_Political-Strategic,1
8253,IMG_5802,PREM_15_479,IMG_5802_PREM_15_479,J_Political-Strategic,1
8407,IMG_6711,PREM_15_1001,IMG_6711_PREM_15_1001,J_Terrorism,1
8435,IMG_6778,PREM_15_1002,IMG_6778_PREM_15_1002,J_Terrorism,1
8436,IMG_6778,PREM_15_1002,IMG_6778_PREM_15_1002,J_Terrorism,2
8778,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Terrorism,1
8779,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Terrorism,2
8883,IMG_1805,CJ_4_458,IMG_1805_CJ_4_458,J_Terrorism,1
8897,IMG_1808,CJ_4_458,IMG_1808_CJ_4_458,J_Terrorism,1
8904,IMG_1809,CJ_4_458,IMG_1809_CJ_4_458,J_Terrorism,1
8932,IMG_1829,CJ_4_458,IMG_1829_CJ_4_458,J_Terrorism,1
8939,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Terrorism,1
8946,IMG_1839,CJ_4_458,IMG_1839_CJ_4_458,J_Terrorism,1
8953,IMG_1848,CJ_4_458,IMG_1848_CJ_4_458,J_Terrorism,1
8960,IMG_1855,CJ_4_458,IMG_1855_CJ_4_458,J_Terrorism,1
8961,IMG_1855,CJ_4_458,IMG_1855_CJ_4_458,J_Terrorism,2
8981,IMG_1868,CJ_4_458,IMG_1868_CJ_4_458,J_Terrorism,1
9009,IMG_1938,DEFE_13_919,IMG_1938_DEFE_13_919,J_Terrorism,1
9023,IMG_2152,DEFE_24_1214,IMG_2152_DEFE_24_1214,J_Terrorism,1
9233,IMG_0143,PREM_15_478,PREM_15_478_143,J_Terrorism,1
9359,IMG_0186,PREM_15_478,PREM_15_478_186,J_Terrorism,1
9366,IMG_0189,PREM_15_478,PREM_15_478_189,J_Terrorism,1
9373,IMG_0190,PREM_15_478,PREM_15_478_190,J_Terrorism,1
9380,IMG_0191,PREM_15_478,PREM_15_478_191,J_Terrorism,1
9408,IMG_0199,PREM_15_478,PREM_15_478_199,J_Terrorism,1
9415,IMG_0200,PREM_15_478,PREM_15_478_200,J_Terrorism,1
9422,IMG_0201,PREM_15_478,PREM_15_478_201,J_Terrorism,1
9436,IMG_0205,PREM_15_478,PREM_15_478_205,J_Terrorism,1
9437,IMG_0205,PREM_15_478,PREM_15_478_205,J_Terrorism,2
9471,IMG_5801,PREM_15_479,IMG_5801_PREM_15_479,J_Terrorism,1
9472,IMG_5801,PREM_15_479,IMG_5801_PREM_15_479,J_Terrorism,2
9478,IMG_5802,PREM_15_479,IMG_5802_PREM_15_479,J_Terrorism,1
9485,IMG_5835,PREM_15_479,IMG_5835_PREM_15_479,J_Terrorism,1
9597,IMG_5606,PREM_15_480,IMG_5606_PREM_15_480,J_Terrorism,1
9639,IMG_5766,PREM_15_481,IMG_5766_PREM_15_481,J_Terrorism,1
9765,IMG_6778,PREM_15_1002,IMG_6778_PREM_15_1002,J_Utilitarian-Deterrence,1
9786,IMG_6843,PREM_15_1002,IMG_6843_PREM_15_1002,J_Utilitarian-Deterrence,1
9884,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Utilitarian-Deterrence,1
9885,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Utilitarian-Deterrence,2
9912,IMG_2234,DEFE_24_1214,IMG_2234_DEFE_24_1214,J_Utilitarian-Deterrence,1
9947,IMG_0186,PREM_15_478,PREM_15_478_186,J_Utilitarian-Deterrence,1
9954,IMG_0190,PREM_15_478,PREM_15_478_190,J_Utilitarian-Deterrence,1
9982,IMG_0200,PREM_15_478,PREM_15_478_200,J_Utilitarian-Deterrence,1
9996,IMG_5835,PREM_15_479,IMG_5835_PREM_15_479,J_Utilitarian-Deterrence,1
9997,IMG_5835,PREM_15_479,IMG_5835_PREM_15_479,J_Utilitarian-Deterrence,2
10045,IMG_5687,PREM_15_481,IMG_5687_PREM_15_481,J_Utilitarian-Deterrence,1
