Obs_number,File_Img,Sentence,Round,skd.justification_any,skd.J_Emergency_Policy,skd.J_Legal_Procedure,skd.J_Terrorism,skd.J_Misc,skd.J_Law_Order,skd.J_Utilitarian_Deterrence,skd.J_Intl_Domestic_Precedent,skd.J_Development_Unity,skd.J_Political_Strategic,skd.J_Last_Resort,skd.J_Denial
79,2105_DEFE_13_919,Ministers accept responsibility,1,,,,,,,,,,,,
80,2105_DEFE_13_919,/(12) Local,1,,,,,,,,,,,,
81,7894_PREM_15_1012,[head text],1,,,,,,,,,,,,
82,7894_PREM_15_1012,General,1,,,,,,,,,,,,
83,7894_PREM_15_1012,1. The main political,1,,,,,,,,,,,,
84,7894_PREM_15_1012,Discussions at the,1,,,,,,,,,,,,
85,7894_PREM_15_1012,2. On the security,1,,,,,,,,,,,,
86,7894_PREM_15_1012,Searches by the,1,,,,,,,,,,,,
87,7894_PREM_15_1012,The SDLP,1,,,,,,,,,,,,
88,7894_PREM_15_1012,"3. Although, following recent",1,,,,,,,,,,,,
89,7894_PREM_15_1012,A government statement,1,,,,,,,,,,,,
90,7894_PREM_15_1012,The delegation expressed,1,1,,,,1,,,,,,,
91,7894_PREM_15_1012,4. The Secretary of State said,1,,,,,,,,,,,,
92,7894_PREM_15_1012,5. The Secretary of State took,1,,,,,,,,,,,,
93,7894_PREM_15_1012,A further meeting,1,,,,,,,,,,,,
94,7894_PREM_15_1012,6. The SDLP said,1,,,,,,,,,,,,
95,7894_PREM_15_1012,They welcomed the,1,,,,,,,,,,,,
96,PREM_15_478_206,[head text],1,,,,,,,,,,,,
97,PREM_15_478_206,forces to help,1,1,,,,,,,,,1,,
98,PREM_15_478_206,"7. We realise, of course",1,,,,,,,,,,,,
99,PREM_15_478_206,We have made clear,1,1,,,,,,,,,1,,
100,PREM_15_478_206,The marches due in Derry,1,1,,,,,,,,,1,,
101,PREM_15_478_206,An advisory committee,1,1,,,,,,,,,,,1
102,PREM_15_478_206,8. The effectiv eness of internment,1,1,,,,,,,1,,,,
103,PREM_15_478_206,I have however sent,1,1,,,,1,,,,,,,
104,PREM_15_478_206,[foot text],1,,,,,,,,,,,,
105,7886_PREM_15_1012,5. The 'Irish times',1,,,,,,,,,,,,
106,7886_PREM_15_1012,They argued that,1,,,,,,,,,,,,
107,7886_PREM_15_1012,They agreed that,1,,,,,,,,,,,,
108,7886_PREM_15_1012,They further argued,1,,,,,,,,,,,,
109,7886_PREM_15_1012,6. Mr Whitelaw reiterated,1,1,1,,,,,,,,,,
110,7886_PREM_15_1012,He said that he would,1,,,,,,,,,,,,
111,7886_PREM_15_1012,It was agreed,1,,,,,,,,,,,,
112,5705_PREM_15_481,"III. Next, agree that",1,,,,,,,,,,,,
113,5705_PREM_15_481,A. The scope and,1,,,,,,,,,,,,
114,5705_PREM_15_481,B. The problem of security,1,1,1,,,,1,,,,,,
115,5705_PREM_15_481,C. Internment. (This is put,1,1,1,,,,1,,,,,,
116,5705_PREM_15_481,A. Further Reforms in,1,,,,,,,,,,,,
117,5705_PREM_15_481,(1) Agree on the ,1,,,,,,,,,,,,
118,5705_PREM_15_481,(2) Agree that this,1,,,,,,,,,,,,
119,5705_PREM_15_481,(3) Invite Mr. Falkner,1,,,,,,,,,,,,
120,5705_PREM_15_481,I have emphasised,1,,,,,,,,,,,,
121,5705_PREM_15_481,(i) That Mr. Faulkner should,1,,,,,,,,,,,,
122,5705_PREM_15_481,(ii) That the Green Paper,1,,,,,,,,,,,,
123,5705_PREM_15_481,(4) Invite Mr. Lynch,1,,,,,,,,,,,,
124,5705_PREM_15_481,If the Northern,1,,,,,,,,,,,,
125,5705_PREM_15_481,He will probably,1,,,,,,,,,,,,
126,5705_PREM_15_481,(i) He wants to,1,,,,,,,,,,,,
127,5705_PREM_15_481,Both we and Mr.,1,,,,,,,,,,,,
128,5705_PREM_15_481,To which Mr. Lynch,1,,,,,,,,,,,,
129,5705_PREM_15_481,At this point there,1,,,,,,,,,,,,
130,5705_PREM_15_481,But it may,1,,,,,,,,,,,,
131,5705_PREM_15_481,Although,1,,,,,,,,,,,,
132,7727_PREM_15_1009,[head text],1,,,,,,,,,,,,
133,7727_PREM_15_1009,therefore he envisages,1,,,,,,,,,,,,
134,7727_PREM_15_1009,This could admit,1,,,,,,,,,,,,
135,7727_PREM_15_1009,The Secretary of State,1,,,,,,,,,,,,
136,7727_PREM_15_1009,(b) What are the Secretary,1,,,,,,,,,,,,
137,7727_PREM_15_1009,Is he equally confident,1,,,,,,,,,,,,
138,7727_PREM_15_1009,What would we do,1,,,,,,,,,,,,
139,7727_PREM_15_1009,( c) How confident is,1,,,,,,,,,,,,
140,7727_PREM_15_1009,And can we be,1,1,1,,,,,,,,,,
141,7727_PREM_15_1009,(d) How would the,1,,,,,,,,,,,,
142,7727_PREM_15_1009,He proposes to,1,,,,,,,,,,,,
143,7727_PREM_15_1009,"€ What kinds of ""neutral""",1,,,,,,,,,,,,
144,7727_PREM_15_1009,The name of Sir Patrick,1,,,,,,,,,,,,
145,7727_PREM_15_1009,Does the Secretary,1,,,,,,,,,,,,
146,4931_PREM_15_475,[head text],2,,,,,,,,,,,,
147,4931_PREM_15_475,Background note,2,,,,,,,,,,,,
148,4931_PREM_15_475,1. W J Moore was arrested,2,,,,,,,,,,,,
149,4931_PREM_15_475,He was guarded,2,,,,,,,,,,,,
150,4931_PREM_15_475,He was transferrer,2,,,,,,,,,,,,
151,4931_PREM_15_475,At some unspecified time,2,,,,,,,,,,,,
152,4931_PREM_15_475,"On 13 September, a writ",2,,,,,,,,,,,,
153,4931_PREM_15_475,2. The preliminary hearing,2,,,,,,,,,,,,
154,4931_PREM_15_475,Only one Ministry of Defense document,2,,,,,,,,,,,,
155,4931_PREM_15_475,The RUC attempted,2,,,,,,,,,,,,
156,4931_PREM_15_475,3. On 22 November the main,2,,,,,,,,,,,,
157,4931_PREM_15_475,His Counsel argued that,2,,,,,,,,,,,,
158,4931_PREM_15_475,Althought Moore was wanted,2,,,,,,,,,,,,
159,4931_PREM_15_475,In fact military personnel had paid,2,,,,,,,,,,,,
160,4931_PREM_15_475,An undertaking not to arrest,2,,,,,,,,,,,,
161,4931_PREM_15_475,The case was reopened on 19 January,2,,,,,,,,,,,,
162,4931_PREM_15_475,The plaintiff waived,2,,,,,,,,,,,,
163,4931_PREM_15_475,4. At the end of the six-day,2,,,,,,,,,,,,
164,4931_PREM_15_475,The judgment was that,2,,,,,,,,,,,,
165,4931_PREM_15_475,This can be construed to mean,2,1,,,,,,,,,,,1
166,5550_PREM_15_477,[head text],2,,,,,,,,,,,,
167,5550_PREM_15_477,10. The Falls Road festival,2,,,,,,,,,,,,
168,5550_PREM_15_477,A pirate radio station,2,,,,,,,,,,,,
169,5550_PREM_15_477,Court proceedings in Northern Ireland,2,,,,,,,,,,,,
170,5550_PREM_15_477,11. One of the three men,2,,,,,,,,,,,,
171,5550_PREM_15_477,He is Brian Burns,2,,,,,,,,,,,,
172,5550_PREM_15_477,The other two,2,,,,,,,,,,,,
173,5550_PREM_15_477,"12. Bernard Falk, the BBC",2,,,,,,,,,,,,
174,5550_PREM_15_477,He was released this morning,2,,,,,,,,,,,,
175,5550_PREM_15_477,On Monday the case,2,,,,,,,,,,,,
176,5550_PREM_15_477,It is now likely,2,,,,,,,,,,,,
177,5550_PREM_15_477,CIVIL RIGHTS CAMPAIGN,2,,,,,,,,,,,,
178,5550_PREM_15_477,13. A petition said,2,,,,,,,,,,,,
179,5550_PREM_15_477,The petition calls for,2,,,,,,,,,,,,
180,5550_PREM_15_477,"Among other things, the",2,,,,,,,,,,,,
181,5550_PREM_15_477,A motion under the 10-min,2,,,,,,,,,,,,
182,5550_PREM_15_477,[foot text],2,,,,,,,,,,,,
183,2148_DEFE_24_1214,Sinn Fein Intelligence,2,1,,,,,,,,,,,
184,2148_DEFE_24_1214,The system in internment camps,2,1,,,,,,,,,,,
185,2148_DEFE_24_1214,The chief fear of the,2,,,,,,,,,,,,
186,2148_DEFE_24_1214,To prevent this and for,2,,,,,,,,,,,,
187,2148_DEFE_24_1214,A . Chief Intelligence Officer was,2,,,,,,,,,,,,
188,2148_DEFE_24_1214,(a) Censororship. All letters to,2,,,,,,,,,,,,
189,2148_DEFE_24_1214,(1) To prevent internes friends,2,,,,,,,,,,,,
190,2148_DEFE_24_1214,(2) To detect any agents,2,,,,,,,,,,,,
191,2148_DEFE_24_1214,In the case of outgoing letters,2,,,,,,,,,,,,
192,2148_DEFE_24_1214,Raids were also made on,2,,,,,,,,,,,,
193,2148_DEFE_24_1214,At first it was carried,2,,,,,,,,,,,,
194,2148_DEFE_24_1214,As time went on however,2,1,,,,,,,,,,,
195,2148_DEFE_24_1214,(b) Intelligence Officers. An Intelligence Officer was selected ,2,,,,,,,,,,,,
196,2148_DEFE_24_1214,His duty consisted in ,2,,,,,,,,,,,,
197,2148_DEFE_24_1214,He also made very careful,2,,,,,,,,,,,,
198,2148_DEFE_24_1214,Any doubtful men were,2,,,,,,,,,,,,
199,2148_DEFE_24_1214,The investigations about suspected,2,,,,,,,,,,,,
200,2148_DEFE_24_1214,Men were warned against,2,,,,,,,,,,,,
201,2148_DEFE_24_1214,It was the duty of these,2,,,,,,,,,,,,
202,2148_DEFE_24_1214,Similar intelligence officers were,2,,,,,,,,,,,,
203,2148_DEFE_24_1214,(c ) Scouts.--The duties of scouts,2,,,,,,,,,,,,
204,2148_DEFE_24_1214,They were used also,2,,,,,,,,,,,,
205,2148_DEFE_24_1214,These duties were well,2,,,,,,,,,,,,
206,2148_DEFE_24_1214,They made it difficult,2,,,,,,,,,,,,
207,2148_DEFE_24_1214,(d) Reference Department.--This consisted,2,,,,,,,,,,,,
208,2148_DEFE_24_1214,In addition to these four,2,,,,,,,,,,,,
209,2262_DEFE_24_1214 ,[head text],2,,,,,,,,,,,,
210,2262_DEFE_24_1214,internment camp--northern ireland,2,,,,,,,,,,,,
211,2262_DEFE_24_1214,1. at a meeting to discuss,2,,,,,,,,,,,,
212,2262_DEFE_24_1214,It was noted that,2,1,,,,,,,,,,,1
213,2262_DEFE_24_1214,The meeting invited the,2,,,,,,,,,,,,
214,2262_DEFE_24_1214,2. The Home Office have had further,2,,,,,,,,,,,,
215,2262_DEFE_24_1214,Given that the real purpose of the accommodation must not be divulged in public…,2,1,,,,,,,,,,,1
216,2262_DEFE_24_1214,"At the same time, the Northern Ireland",2,,,,,,,,,,,,
217,2262_DEFE_24_1214,3. The Home Office themeselves have no authority,2,1,,1,,,,,,,,,
218,2262_DEFE_24_1214,[foot text],2,,,,,,,,,,,,
219,5836_PREM_15_479,[head text],2,,,,,,,,,,,,
220,5836_PREM_15_479,General situation,2,,,,,,,,,,,,
221,5836_PREM_15_479,1. It has been a week,2,,,,,,,,,,,,
222,5836_PREM_15_479,The paramilitary opposition rejected,2,,,,,,,,,,,,
223,5836_PREM_15_479,More extreme Republi can groups,2,,,,,,,,,,,,
224,5836_PREM_15_479,Roman Catholic owned premises,2,,,,,,,,,,,,
225,5836_PREM_15_479,There continues to be little,2,1,,,,,,1,,,,,
226,5836_PREM_15_479,2. In London the Government refused,2,,,,,,,,,,,,
227,5836_PREM_15_479,Mr. Wilson's statement on 26th August,2,,,,,,,,,,,,
228,5836_PREM_15_479,Mr. Heath met a delegation,2,,,,,,,,,,,,
229,5836_PREM_15_479,Security Situation,2,,,,,,,,,,,,
230,5836_PREM_15_479,3. There have been about,2,,,,,,,,,,,,
231,5836_PREM_15_479,The most serious occurred,2,,,,,,,,,,,,
232,5836_PREM_15_479,One man was killed,2,,,,,,,,,,,,
233,5836_PREM_15_479,The incident led to ,2,,,,,,,,,,,,
234,5836_PREM_15_479,It came at the end,2,,,,,,,,,,,,
235,5836_PREM_15_479,Other targets included,2,,,,,,,,,,,,
236,5836_PREM_15_479,Elsewhere in Northern Ireland,2,,,,,,,,,,,,
237,5836_PREM_15_479,[foot text],2,,,,,,,,,,,,
238,6385_PREM_15_486,[head text],2,,,,,,,,,,,,
239,6385_PREM_15_486,2. If Mr. Lynch enquires,2,,,,,,,,,,,,
240,6385_PREM_15_486,The reason is that,2,,,,,,,,,,,,
241,6385_PREM_15_486,You should discourage any,2,,,,,,,,,,,,
242,6385_PREM_15_486,This would in any case,2,1,1,,,,,,,,,,
243,6385_PREM_15_486,You should avoid getting into,2,,,,,,,,,,,,
244,6385_PREM_15_486,Ministers will no doubt,2,,,,,,,,,,,,
245,6385_PREM_15_486,Any comment which ministers,2,,,,,,,,,,,,
246,6385_PREM_15_486,3. You should awaid confirmatory,2,,,,,,,,,,,,
247,6385_PREM_15_486,[foot text],2,,,,,,,,,,,,
248,6779_PREM_15_1002,[head text],2,,,,,,,,,,,,
249,6779_PREM_15_1002,"tolerable, if it were judged",2,,,,,,,,,,,,
250,6779_PREM_15_1002,But the Army consider,2,1,,,1,1,,,,,,,
251,6779_PREM_15_1002,"Further, the Army's ",2,1,1,,,,,,,,,,
252,6779_PREM_15_1002,If that power no longer,2,1,,,,,,1,,,,,
253,6779_PREM_15_1002,It will be necessary,2,1,,,,,,1,,,,,
254,6779_PREM_15_1002,There should be no,2,,,,,,,,,,,,
255,6779_PREM_15_1002,The Army hope that,2,1,,1,,,,,,,,,
256,6779_PREM_15_1002,But whether or not that practice,2,1,,,,1,,,,,,,
257,6779_PREM_15_1002,The Northern Ireland Government will,2,1,,,,1,,,,,,,
258,6779_PREM_15_1002,The matter is due to,2,,,,,,,,,,,,
259,6779_PREM_15_1002,"That said, however, it is ",2,,,,,,,,,,,,
260,6779_PREM_15_1002,[foot text],2,,,,,,,,,,,,
261,6068_PREM_15_483,[head text],2,,,,,,,,,,,,
262,6068_PREM_15_483,1. The situation in Ireland continues,2,,,,,,,,,,,,
263,6068_PREM_15_483,What I have to say,2,,,,,,,,,,,,
264,6068_PREM_15_483,2. In the Republic itself,2,,,,,,,,,,,,
265,6068_PREM_15_483,This trend is eroding the,2,,,,,,,,,,,,
266,6068_PREM_15_483,This trend is due less,2,,,,,,,,,,,,
267,6068_PREM_15_483,I learned at Chequers that our friends,2,,,,,,,,,,,,
268,6068_PREM_15_483,Many of my diplomatic colleagues,2,,,,,,,,,,,,
269,6068_PREM_15_483,There have been indications that,2,,,,,,,,,,,,
270,6068_PREM_15_483,"There seems, at least in Dublin, to be",2,,,,,,,,,,,,
271,6068_PREM_15_483,"On the contrary, the assumption is that",2,,,,,,,,,,,,
272,6068_PREM_15_483,"Indeed, during the period",2,,,,,,,,,,,,
273,6068_PREM_15_483,[foot text],2,,,,,,,,,,,,
274,2071_DEFE_13_919,[head text],2,,,,,,,,,,,,
275,2071_DEFE_13_919,obtain evidence.,2,,,,,,,,,,,,
276,2071_DEFE_13_919,The responsibility for obtaining,2,,,,,,,,,,,,
277,2071_DEFE_13_919,On the other hand it must,2,,,,,,,,,,,,
278,2071_DEFE_13_919,It is therefore essentail that,2,,,,,,,,,,,,
279,2071_DEFE_13_919,The organisation of interrogation,2,,,,,,,,,,,,
280,2071_DEFE_13_919,5. There are normally three,2,,,,,,,,,,,,
281,2071_DEFE_13_919,These are,2,,,,,,,,,,,,
282,2071_DEFE_13_919,a. The arrest or Capture,2,,,,,,,,,,,,
283,2071_DEFE_13_919,b. Tactical (Primary) Interrogation,2,,,,,,,,,,,,
284,2071_DEFE_13_919,c. Detailed (Secondary) Interrogation,2,,,,,,,,,,,,
285,2071_DEFE_13_919,Further details of these phases ,2,,,,,,,,,,,,
286,2071_DEFE_13_919,"It is important, however, to",2,,,,,,,,,,,,
287,2071_DEFE_13_919,The majroity are discarded,2,,,,,,,,,,,,
288,2071_DEFE_13_919,Only a very small,2,,,,,,,,,,,,
289,2071_DEFE_13_919,General principles of interrogation,2,,,,,,,,,,,,
290,2071_DEFE_13_919,7. After arrival at the centre,2,,,,,,,,,,,,
291,2071_DEFE_13_919,The interrogator must remember,2,,,,,,,,,,,,
292,2071_DEFE_13_919,[foot text],2,,,,,,,,,,,,
293,5050_PREM_15_475,[head text],2,,,,,,,,,,,,
294,5050_PREM_15_475,Very many thanks,2,,,,,,,,,,,,
295,5050_PREM_15_475,I did so appreciate,2,,,,,,,,,,,,
296,5050_PREM_15_475,The Committee have now,2,,,,,,,,,,,,
297,5050_PREM_15_475,We are a little concerned,2,,,,,,,,,,,,
298,5050_PREM_15_475,Terrorism no doubt connotes,2,,,,,,,,,,,,
299,5050_PREM_15_475,We feel sure that you,2,1,1,1,,,,,,,,,
300,5050_PREM_15_475,In these circumstances we ,2,,,,,,,,,,,,
301,5050_PREM_15_475,"""To consider whether, and if",2,1,,1,1,,,,,,,,
302,5050_PREM_15_475,"This is, I fear,",2,,,,,,,,,,,,
303,5050_PREM_15_475,If however any difficulty,2,,,,,,,,,,,,
304,5050_PREM_15_475,The Lore President has kindly,2,,,,,,,,,,,,
305,1803_CJ_4_458,1. Security Review,2,,,,,,,,,,,,
306,1803_CJ_4_458,The GOC and Chief Constable,2,,,,,,,,,,,,
307,1803_CJ_4_458,The Secretary of State agreed,2,,,,,,,,,,,,
308,1803_CJ_4_458,To counter allegations of lack,2,,,,,,,,,,,,
309,1803_CJ_4_458,Arising out of a discussion,2,,,,,,,,,,,,
310,1803_CJ_4_458,2. Arrest Policy (Resumed Discussion),2,,,,,,,,,,,,
311,1803_CJ_4_458,The meeting had before it,2,,,,,,,,,,,,
312,1803_CJ_4_458,The GOC said that subsequent,2,,,,,,,,,,,,
313,1803_CJ_4_458,After further discussion it was agreed,2,,,,,,,,,,,,
314,1803_CJ_4_458,"""Other terrorists who are known",2,1,1,,1,,,,,,,,
315,1803_CJ_4_458,The meeting noted that,2,,,,,,,,,,,,
316,1803_CJ_4_458,[foot text],2,,,,,,,,,,,,
317,6837_PREM_15_1002,[head text],2,,,,,,,,,,,,
318,6837_PREM_15_1002,Incidents in the last 24 hours,2,,,,,,,,,,,,
319,6837_PREM_15_1002,By recent standards there,2,,,,,,,,,,,,
320,6837_PREM_15_1002,There were a dozen shooting,2,,,,,,,,,,,,
321,6837_PREM_15_1002,"In one of these, a man",2,,,,,,,,,,,,
322,6837_PREM_15_1002,The reason for this murder is ,2,,,,,,,,,,,,
323,6837_PREM_15_1002,2. There were three shooting,2,,,,,,,,,,,,
324,6837_PREM_15_1002,There no casualties at all,2,,,,,,,,,,,,
325,6837_PREM_15_1002,3. There were also about a dozen,2,,,,,,,,,,,,
326,6837_PREM_15_1002,Explosions caused major damage,2,,,,,,,,,,,,
327,6837_PREM_15_1002,A vehicle was blown up,2,,,,,,,,,,,,
328,6837_PREM_15_1002,4. Two soldiers sustained injuries,2,,,,,,,,,,,,
329,6837_PREM_15_1002,Other patrols in Belfast,2,,,,,,,,,,,,
330,6837_PREM_15_1002,5. There were two minor finds,2,,,,,,,,,,,,
331,6837_PREM_15_1002,"Disruption Day, 9 February",2,,,,,,,,,,,,
332,6837_PREM_15_1002,6. One cannot predict exactly,2,,,,,,,,,,,,
333,6837_PREM_15_1002,The likely possibilities are:,2,,,,,,,,,,,,
334,6837_PREM_15_1002,a. Blocking of trunk,2,,,,,,,,,,,,
335,6837_PREM_15_1002,b. Picketing of police,2,,,,,,,,,,,,
336,6837_PREM_15_1002,[foot text],2,,,,,,,,,,,,
337,4975_PREM_15_475,[head text],2,,,,,,,,,,,,
338,4975_PREM_15_475,Prime Minister,2,,,,,,,,,,,,
339,4975_PREM_15_475,"At your suggestion, I telephoned",2,,,,,,,,,,,,
340,4975_PREM_15_475,Lord Parker said that he,2,,,,,,,,,,,,
341,4975_PREM_15_475,He still thought that it,2,1,,1,,,,,,,,,
342,4975_PREM_15_475,"On reflection, however, he did not",2,1,,1,,,,,,,,,
343,4975_PREM_15_475,"He thought, therefore, that the",2,,,,,,,,,,,,
344,4975_PREM_15_475,Service and police personnel could,2,,,,,,,,,,,,
345,4975_PREM_15_475,"The court would, however, have to",2,1,,1,,,,,,,,,
346,4975_PREM_15_475,Lord Parker thought it would,2,,,,,,,,,,,,
347,4975_PREM_15_475,He thought that the kind,2,,,,,,,,,,,,
348,4975_PREM_15_475,No doubt you would like me,2,,,,,,,,,,,,
349,4975_PREM_15_475,You will also be interested to ,2,,,,,,,,,,,,
350,4975_PREM_15_475,The handout was given to ,2,,,,,,,,,,,,
351,4975_PREM_15_475,I shall draw this also to,2,,,,,,,,,,,,
352,4975_PREM_15_475,[foot text],2,,,,,,,,,,,,
353,5829_PREM_15_479,[head text],2,,,,,,,,,,,,
354,5829_PREM_15_479,Well if you would like,2,,,,,,,,,,,,
355,5829_PREM_15_479,Mr. Faulkner,2,,,,,,,,,,,,
356,5829_PREM_15_479,I will do that,2,,,,,,,,,,,,
357,5829_PREM_15_479,Prime Minister,2,,,,,,,,,,,,
358,5829_PREM_15_479,"Yes, or if you would",2,,,,,,,,,,,,
359,5829_PREM_15_479,Mr. Faulkner,2,,,,,,,,,,,,
360,5829_PREM_15_479,Right I will do that,2,,,,,,,,,,,,
361,5829_PREM_15_479,I will leave it till,2,,,,,,,,,,,,
362,5829_PREM_15_479,You had two hours with ,2,,,,,,,,,,,,
363,5829_PREM_15_479,They came to report,2,,,,,,,,,,,,
364,5829_PREM_15_479,Prime Minister,2,,,,,,,,,,,,
365,5829_PREM_15_479,"Yes, they do not do",2,,,,,,,,,,,,
366,5829_PREM_15_479,Well I hope they,2,,,,,,,,,,,,
367,5829_PREM_15_479,Mr. Faulkner,2,,,,,,,,,,,,
368,5829_PREM_15_479,"No, I do not think",2,,,,,,,,,,,,
369,5829_PREM_15_479,In fact I think they,2,,,,,,,,,,,,
370,5829_PREM_15_479,I think they thought it,2,,,,,,,,,,,,
371,5829_PREM_15_479,Prime Minister,2,,,,,,,,,,,,
372,5829_PREM_15_479,"Well, they did raise",2,,,,,,,,,,,,
373,5829_PREM_15_479,"All right Brian, you",2,,,,,,,,,,,,
374,5829_PREM_15_479,[foot text],2,,,,,,,,,,,,
375,2305_DEFE_13_917,[head text],2,,,,,,,,,,,,
376,2305_DEFE_13_917,Note on Interrogation,2,,,,,,,,,,,,
377,2305_DEFE_13_917,1. The general rules governing,2,1,,,,,,,1,,,,
