File_Img,Sentence,DNV Notes,c2.justification_any,c2.J_Emergency_Policy,c2.J_Legal_Procedure,c2.J_Terrorism,c2.J_Misc,c2.J_Law_Order,c2.J_Utilitarian_Deterrence,c2.J_Intl_Domestic_Precedent,c2.J_Development_Unity,c2.J_Political_Strategic,c2.J_Last_Resort,c2.J_Denial,skd.justification_any,skd.J_Emergency_Policy,skd.J_Legal_Procedure,skd.J_Terrorism,skd.J_Misc,skd.J_Law_Order,skd.J_Utilitarian_Deterrence,skd.J_Intl_Domestic_Precedent,skd.J_Development_Unity,skd.J_Political_Strategic,skd.J_Last_Resort,skd.J_Denial
PREM-15_478_195,"I also hope that, however, you",,0,,,,,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,Our hope is that these measures ,"temporary == misc; social/other reofmers, intercommunity relations == unity/dev",1,,,,1,,,,1,,,,1,,,,1,,,,1,,,
PREM-15_478_195,And avoce all I hope that ,,0,,,,,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,I am much looking forward to your ,,0,,,,,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,[foot text],,,,,,,,,,,,,,,,,,,,,,,,,
IMG_5161_PREM_15_485,[head text],,,,,,,,,,,,,,,,,,,,,,,,,
IMG_5161_PREM_15_485,Forces are known to have been killed ,No justification,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5161_PREM_15_485,There have been over 800,No justification,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5161_PREM_15_485,"In 1971, up to the morning of",No justification,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5161_PREM_15_485,These figures refer only to ,No justification,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5161_PREM_15_485,The aims of the IRA are to intimdate ,No justification,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5161_PREM_15_485,No responsible Governmetn can afford,No justification,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5161_PREM_15_485,The preservation of law and order,I read this as a separate sentence and not really related to the header,0,,,,,,,,,,,,1,,,,1,1,,,,,,
IMG_5161_PREM_15_485,By July and early August the ,"I read ""the deterioration of the situation"" referred to a dire security situation ",1,1,,,,,,,,,,,1,,,,1,,,,,,,
IMG_5161_PREM_15_485,In announcing ,I took the first sentence of the quote as part of the set up to the quote,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5161_PREM_15_485,If Northern Ireland is ,,,,,,,,,,,,,,1,,,,,,,,1,,,
IMG_5161_PREM_15_485,We must sustain ,the aim of the policy is to allow the continuation of the econ/social development and to unify society,1,,,,,,,,,,,,1,,,,,,,,1,,,
IMG_5161_PREM_15_485,"These things are, and will continue ",,0,,,,,,,,,,,,1,,,,,,,,1,,,
IMG_5161_PREM_15_485,[foot text],,,,,,,,,,,,,,,,,,,,,,,,,
IMG_6305_PREM_15_484,[head text],,,,,,,,,,,,,,,,,,,,,,,,,
IMG_6305_PREM_15_484,At the meeting last Mondya ,,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_6305_PREM_15_484,"As you know, I have now",,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_6305_PREM_15_484,There are two difficulties,,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_6305_PREM_15_484,"First, the reason for internment is ",The ordinary system isn't able to try based on the evidence we have,1,1,,,,,,,,,,,1,1,,,,,,,,,,
IMG_6305_PREM_15_484,Exampls are attached of the ,I took this as describing the aforementioned evidence and not a justification,0,,,,,,,,,,,,1,1,,,,,,,,,,
IMG_6305_PREM_15_484,Much of it is simply,I took this as describing the aforementioned evidence and not a justification,0,,,,,,,,,,,,1,1,,,,,,,,,,
IMG_6305_PREM_15_484,"Secondly, even if the evidence ",Ordinary system not sufficent ,1,1,,,,,,,,,,,1,1,,,,,,,,,,
IMG_6305_PREM_15_484,We should put indivudals ,,1,1,,,,,,,,,,,1,1,,,,,1,,,,,
IMG_6305_PREM_15_484,Even if the case were,,1,1,,,,,,,,,,,,,,,,,,,,,,
IMG_6305_PREM_15_484,The Attorney General cannot,,1,1,,,,,,,,,,,1,1,,,,,,,,,,
IMG_6305_PREM_15_484,This is also the view,I didn’t code this because it didn't provide new info,0,,,,,,,,,,,,1,,1,,,,,,,,,
IMG_6305_PREM_15_484,He said that the evidence ,Comparing two systems ,1,,1,,,,,,,,,,1,,1,,,,,,,,,
IMG_6305_PREM_15_484,IF we want to keep the internees,I took udner restraint to speak to the security situation/need to contain those in the conflict; misc bc no alternative ,1,1,,,1,,,,,,,,1,,,,1,,,,,,,
IMG_6305_PREM_15_484,The Northern Ireland Labour ,,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_6305_PREM_15_484,They take the view ,"It is unavoiable, no alt.",1,,,,1,,,,,,,,,,,,,,,,,,,
IMG_6305_PREM_15_484,Their only suggestion,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_6305_PREM_15_484,[foot text],,,,,,,,,,,,,,,,,,,,,,,,,
IMG_6306_PREM_15_484,[head text],,,,,,,,,,,,,,,,,,,,,,,,,
IMG_6306_PREM_15_484,ws the setting up of some,setting up a laegal body rem. Of regular system,1,,1,,,,,,,,,,1,,1,,,,,,,,,
IMG_6306_PREM_15_484,They had little hope ,Coded as LP because is establishing the Commission for reviewing internment; PS because it is in setting up the Commission it will buy goodwill for political initiatives,1,,1,,,,,,,1,,,,,,,,,,,,,,
IMG_6306_PREM_15_484,There are I think ,"Giving this denial bc legal representation is a right, which cues to denial",1,,,,,,,,,,,1,1,,1,,,,,,,,,
IMG_6306_PREM_15_484,I remain much disturbed by this ,,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_6306_PREM_15_484,Unless we can make some ,,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_6306_PREM_15_484,But I simply don't see,we can't abandon intermen == it is inevtiable,1,,,,1,,,,,,,,1,,,,1,,,,,,,
IMG_6306_PREM_15_484,The Attorney General and Mr. Dalton,there is no alternative ,1,,,,1,,,,,,,,1,1,,,,,,,,,,
IMG_6306_PREM_15_484,[foot text],,,,,,,,,,,,,,,,,,,,,,,,,
IMG_5885_PREM_15_479,[head text],,,,,,,,,,,,,,,,,,,,,,,,,
IMG_5885_PREM_15_479,The internment operation has been a,,0,,,,,,,,,,,,1,,,,1,,,,,,,
IMG_5885_PREM_15_479,Those detained include a considerable,,0,,,,,,,,,,,,1,,,,1,,,,,,,
IMG_5885_PREM_15_479,The evidence is thatboth wings,terrorist activity will be at a lower level == terr; both wings [of the IRA] have been seriously disurpted == militarily effecitve ,1,,,1,1,,,,,,,,1,,,1,,,1,,,,,
IMG_5885_PREM_15_479,But internment is only ,,0,,,,,,,,,,,,1,,,,1,,,,,,,
IMG_5885_PREM_15_479,It is too soon to reach ,,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5885_PREM_15_479,The reaction of the part of ,,0,,,,,,,,,,,,1,,,,,,,,,1,,
IMG_5885_PREM_15_479,We have not done well ,,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5885_PREM_15_479,The morale of moderate ,,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5885_PREM_15_479,"So far, there has been ",,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5885_PREM_15_479,But it will be touch and go ,,0,,,,,,,,,,,,,,,,,,,,,,,
IMG_5885_PREM_15_479,There is a dangers,,0,,,,,,,,,,,,,,,,,,,,,,,
