,image_id,justification,level_2,text
56,IMG_8057,J_Denial,1,"Pending the report of the commission and of 
the subsequent legislation on it, the Government therefore proposes at an early date to introduce interim legislation under the Special Powers Act to set up a special tribunal to deal with persons accused of terrorist activities by means of a procedure which will preserve the essentials of natural justice, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland."
57,IMG_8057,J_Denial,2,"But the Government 
wishes to make clear at once that these measures will not in any way be directed against the holding of opinions, but only against the use of violence and terror to force those opinions on law"
63,IMG_8058,J_Denial,1,abiding citizens.
64,IMG_8058,J_Denial,2,"Moreover, these Interim provisions will be 
employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence."
70,IMG_8291,J_Denial,1,"The Prime Minister said that the Army statement had been concerned to deny the wide general allegations which had been made, and was justified in so doing."
77,IMG_8880,J_Denial,1,"Dr. Fitzgerald asked the British Government’s intentions on 
internment. The Prime Minister said that the British Government 
had changed the basis on which people were detained in Northern Ireland. 
Powers Act. 
The White Paper would deal with the future of the Special"
84,IMG_9316,J_Denial,1,"The Foreign and Commonwealth Secretary and the Secretary of 
State for Northern Ireland agree (as does Tom Bridges) that it will be helpful for you to send a further message to the Pope explaining the present position on ""internment"" - as he persists in calling it and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper"
85,IMG_9316,J_Denial,2,"When Mr. Whitelaw lunched today with Cardinal Heenan he 
discovered that the Cardinal had very little idea of the new procedures for detention. 
Cardinal Heenan said that he did not 
believe that the changes we have made were understood in Rome. In the light of this conversation and of the Cardinal’s favourable reaction to what he was told, Mr. Whitelaw thinks that there is all the stronger case for sending a further message to the Pope."
91,IMG_9317,J_Denial,1,I agree that the Pope’s reference to internment was a disappointing feature of his message. The message suggests a possible misunderstanding of the situation.
98,IMG_9320,J_Denial,1,"While the Commission was deliberating, the 
Government proposed, and Parliament in Westminster approved, the abolition of internment by the Executive as it had been practised 
Northern 
Ireland law, and the enactment, as an interim measure pending the Commission’s Report, procedures for detention."
99,IMG_9320,J_Denial,2,"Specific safeguards were incorporated, which have been in operation since 7 November 1972, as follows"
105,IMG_9321,J_Denial,1,a person detained by order of a commissioner has a right of appeal to an independent tribunal
106,IMG_9321,J_Denial,2,"(d) a person appearing before a commissioner is given in advance a statement of the terrorist activities he is alleged to have engaged in; 
(e) such a person may give evidence and be legally represented."
107,IMG_9321,J_Denial,3,This is a far cry from internment.
108,IMG_9321,J_Denial,4,The procedures contain all possible safeguards against injustice.
112,IMG_9325,J_Denial,1,"While believing that the Pope’s attitude hitherto 
hardly suggests he will give a forthright lead, the Foreign and Commonwealth Secretary agrees with the Prime Minister that it would be helpful to send a further message explaining the present position on ""internment"" (as the Pope persists in calling it), and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper."
119,IMG_9330,J_Denial,1,"Northern Ireland, the Prime Minister sees considerable attracticn in a fairly open statement of support by the Pope for the White Paper proposals; and Pope Paul may be more willing to speak out if he can be persuaded that we have taken positive steps on internment."
126,IMG_9334,J_Denial,1,"A personal explanation from you of what we have done on internment will make much more of an impact on the Pope than Mr. Crawley’s discussions with Vatican officials. 
Subject to Mr. Whitelaw’s views, 
there is considerable attraction in a fairly open statement of support by the Pope for the White Paper proposals; and he may be more willing to speak out if he can be persuaded that we have taken positive steps on internment."
133,IMG_9335,J_Denial,1,"THIS WAS SOMEWHAT UNEXPECTED AS PARAGRAPHS 58 TO 60 OF THE WHITE PAPER DEALT WITH THIS POINT AND WE HAD SENT THE VATICAN THE TEXT OF MR WHITELAW’S STATEMENT MADE IN THE HOUSE OF COMMONS ON 20 DECEMBER LAST ON THE REPORT OF THE DIPLOCK COMMISSION. WE HAD ALSO SENT THE TEXT OF THE PRIME MINISTER’S SIMILAR STATEMENT ON 28 MARCH WHICH AGAIN DEALS WITH INTERNMENT. MOREOVER, THE PRIME MINISTER. HIMSELF HAD EXPLAINED TO THE POPE OUR DIFFICULTIES ABOUT INTERNMENT"
140,IMG_9336,J_Denial,1,"DURING THEIR MEETING LAST OCTOBER, INFORMING HIM THAT, SINCE THE INTRODUCTION OF DIRECT RULE, THE NUMBER OF INTERNEES HAD BEEN REDUCED FROM OVER 1,000 TO SOME 171 AND THAT MORE WOULD SOON BE RELEASED."
147,IMG_1770,J_Denial,1,"Page 1 : (130,497) - (482,537)"
154,IMG_2327,J_Denial,1,"Page 1 : (168,688) - (626,769)"
161,IMG_2141,J_Denial,1,"Military personnel are to acquaint themselves 
with the laws of the country concerned, and will not act unlawfully under any circumstances whatever."
168,IMG_2151,J_Denial,1,"ntenos are to be treated fairly but frmly. No monber of the Staif 
ecr.-Powers of Cnimanda .: 
will be ptrmitted to adopt an aggressivo or buying manuiortownl them.-"
175,IMG_2162,J_Denial,1,"This will be done only after a careful scrutiny of information furnished to me by the police in respect of each ouch person, sufficient to convince me that the individual in question is a threat to present peace and maintenance of order. Any such person will then have the right"
182,IMG_2163,J_Denial,1,of access to an advisory committee. which will hear representations for release and make recommendations to me.
183,IMG_2163,J_Denial,2,"This is not action taken against any responsible and law- 
abiding section of the community. Nor is it in any way punitive or indiscriminate."
184,IMG_2163,J_Denial,3,Is it more of an evil than to allow the perpetrators of these outrages to remain at liberty?
189,IMG_2165,J_Denial,1,"The action we have now taken does not indicate any policy of repression. We are acting not to suppress freedom, but to allow the overwhelming mass of our people to enjoy freedom"
196,IMG_2172,J_Denial,1,During thin period in he protoctod by the Judges Rules?
197,IMG_2172,J_Denial,2,"Under Regulation 11(2) a person ay be detained by ardor until (a) he bas been dischared by direction of the Attorney-Geneml or (b) he is brought before a Court of uraarys 
Jurisdiotion."
203,IMG_2179,J_Denial,1,": 
at the centre. b. 
All legal formalities relating to the custody of arrested persons"
204,IMG_2179,J_Denial,2,"Adminstrative arrangements for running the centre including 
the accommodation, medical care and messing of all persons in the centre. There must be a full medical check by a doctor of every arrested person when he enters the centre."
210,IMG_2180,J_Denial,1,on the general principle that personnel must never use more force then the minimum necessary to enable them to carry out their duties.
217,IMG_2187,J_Denial,1,"Page 1 : (129,291) - (470,338)"
224,IMG_2191,J_Denial,1,"Page 1 : (19,273) - (582,306)"
231,IMG_2194,J_Denial,1,"We have however sought to ensure that the measures 
taken do not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. 
Protestant as well as Catholic 
and I.R.A. extremists will be liable to internment"
238,IMG_2197,J_Denial,1,"We have sought to ensure that the measures taken do not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. 
Protestants as well as Catholic and I.R.A., 
extremists will be liable to internment;"
239,IMG_2197,J_Denial,2,we hope that these measures can be strictly temporary
245,IMG_2207,J_Denial,1,I SHOULD ALSO SEER HIS AGREEMENT THAT OUR DISCUSSION ON INTERNMENT IS TOTALLY DENIABLE AND HAS NOT TAKEN PLACE.
252,IMG_2210,J_Denial,1,Membership of a review tribunal was raised.
259,IMG_2245,J_Denial,1,"Should at any stage there be overcrowding in the camp, as Chambers has pointed out, there is space for an extra hut in the camp layout."
266,IMG_2255,J_Denial,1,and the alternative use of the buildings as accommod tion for British troops.
267,IMG_2255,J_Denial,2,"The second ground - troop accommodation - needs to be examined 
against the background of current and projected force levels and the means of housing them."
273,IMG_2256,J_Denial,1,"(a) to authenticate the cover story, it is essential that the camp should be seen to be performing its secondary role; it will therefore need to be occupied, as much as possible, by British troops;"
274,IMG_2256,J_Denial,2,"There is no doubt that, if not required for 
internment purposes, the camp could be immediately occupied by troops and thereafter constantly and fully used."
280,IMG_2262,J_Denial,1,"and that it w-as docirable for an alternative uco -or Ohe accommodation to to, found."
281,IMG_2262,J_Denial,2,"Givon that. the reyal purpoco of tho accommodation munt not be divulgod in public,’ the Northorn Ireland Govornment have confirmod that they can see no viay in overcoming two major difficultico"
287,IMG_2263,J_Denial,1,"and the alternative 
i use of. the buildings as accommodation for ritiah troops."
294,IMG_2265,J_Denial,1,"As an indication of Long Koh’so valuo, thore is no doubt that co long as it vaa not required for internoos, it would be used to houco’ troops inodiatoly on ito completion."
295,IMG_2265,J_Denial,2,"the Ministry of Defence have a separate though related 
interest in the accommodation which an intrnent camp vould provide, as a means of oupplomonting, and to the extent of ono major unite worth, replacing, temporary and sub-standard accommodation."
296,IMG_2265,J_Denial,3,"to authenticate the cover story, it i essential that 
the camp should be soen to be performing its secondary role; it will, thereforoQ need to be ocupid, as much as possible, by British troops="
297,IMG_2265,J_Denial,4,"because it is temporary accommodation, and not deigned to troop requirements’or standard, and because’there is no security of ’tenure (le troops would have to vaoato it if i -ere required for its primary role),"
301,IMG_2272,J_Denial,1,If in the event it were not needed for this primary purpose it would provide emergency accommodation of a reasonable standard for use by a battalion.
302,IMG_2272,J_Denial,2,"It could be built in such a way that the external signs of its use as an internment camp 
- for example, guard towers and corrugated iron fencing - could be left for erection only when this 
use was intended; and that the internal facilities required in this event 
an alternative legitimate designation. 4. 
- e.g. reception centre, refractory cell block - could be given"
308,IMG_2273,J_Denial,1,"The Home Office (Prison Department’s) advice is that the accommoda- 
tion would be defensible on humanitarian grounds. The proposed arrangements will however be examined in greater detail and any necessary changes reflected in the design. (The examination will also cover the associated problem of privileges)."
315,IMG_2274,J_Denial,1,"It is therefore considered that it would be a prudent precaution to start work on a new camp as soon as possible: a. 
to ensure that a properly secure camp, with living 
conditions about which there would be no legitimate grounds for complaint, is available,"
322,IMG_2276,J_Denial,1,"All the facilities for the internees and their custodians can be 
designed to double for Service accommodation so that the camp can be used for that purpose."
329,IMG_2278,J_Denial,1,The standards of living and recreation space and other amenities are considered to be adequate and defensible but will need to be confirmed.
336,IMG_2279,J_Denial,1,"the disadvantages of MAIDSTONE are: a. 
it can only take 150 internees immediately. b. it would be unsatisfactory for internees for more than 
about one month. c. 
it would provide internees accommodation at the expense of Army requirements."
343,IMG_2285,J_Denial,1,"The Army authorities in Northern Ireland who were associated with the examination are satisfied that they could arrange for exercises, visiting, interrogation and medical services on an ad hoc basis for the comparatively short period while the MAIDSTONE would be used for this purpose."
350,IMG_2287,J_Denial,1,"Further facilities for visitors, interviewing, separation 
prior to interview, exercise (jetty or quarter deck), medical services, would be dealt with on ad hoc basis"
357,IMG_2289,J_Denial,1,"modifications would be needed before ehe c 
safelyy be-used for that purpose."
364,IMG_2290,J_Denial,1,The Home Office official was most unhappy with this definition and believed that there would be humanitarian pressures to provide for creature comforts.
371,IMG_2293,J_Denial,1,"Cover Story. If preparations reach the actual construe 
tion stage and secrecy remains paramount it is clear that some cover story would need to be devised. Some sites will lend themselves better to this than others (but see para 4 below)."
378,IMG_2294,J_Denial,1,"g. Political Involvement. 
wish to consider how far they are prepared to associate themselves with controversial measures taken by the Northern Ireland Government. In itably the security forces would be involved to some degree; but there is a difference between assisting in rounding up and guarding internees and providing a Service facility for an internment site."
385,IMG_2295,J_Denial,1,"Page 1 : (104,207) - (490,236)"
386,IMG_2295,J_Denial,2,This would be bound to attract public comment and it would be impossible to keep the true reason for the work from becoming known. (Note: recent military visits to Rathlin Island have already led to public speculation whether an internment camp was being contemplated there).
392,IMG_2296,J_Denial,1,"hese camps are earmarked as accommodation for reinforcing units. All would be needed if force levels in the Province were. 
required to be increased to 15 battalions this requirement might arise in the circumstances, or as a result of the circumstances in which internment was authorised"
393,IMG_2296,J_Denial,2,"security arrangements could be strengthened to receive 
internees under cover of providing measures to provide greater military preparedness;"
399,IMG_4922,J_Denial,1,he Lord Chancellor tells me that it would be possible to devise a procedure for such circumstances which could nevertheless be regarded as judicial. The procedure would have to be very different from court procedure as known in this country. It would be inquisitorial; the court would be able to ask the accused questions and draw inferences from refusal to answer; material provided on deposition could also be put to the accused. We might also provide that hearsay evidence was to be admissible (and this would undoubtedly increase the number of cases in which we might look for a conviction). The court would need to be given power to impose a sentence instead of an open-ended internment order.
406,IMG_4925,J_Denial,1,"All this without prejudice to the continued need to put 
internees on trial, wherever possible under the existing law."
413,IMG_4928,J_Denial,1,"As you will see from our comments, the Prime Minister is recommended to avoid getting into the details of this case on the grounds that Moore was only detained for 48 hours and not subjected to interrogation in depth or the techniques discussed in the Parker Report."
420,IMG_4931,J_Denial,1,"This can be construed to mean broadly that the Judge considered the treatment established 
by the Compton Report by itself to constitute assault as justifying the portion of the £300 damages which was not attributable to wrongful arrest and imprisonment."
427,IMG_4944,J_Denial,1,"In turn spoke certainly to perhaps also 
to Staff Sergeant Love and passed on the briefing in terms;""because the men were carrying out the task unarmed, and were so few in any one hut, that they should have firm but fair discipline in all huts and ensure hands were visible""."
434,IMG_4967,J_Denial,1,"(E) ALL THE PRESENT CROP OF ALLEGATIONS CAME FROM MEN CHARGED WITH CRIMINAL OFFENCES, TWO HAVE ALREADY BEEN SENTENCED TO 10 YEARS. NONE ARE INTERNEES."
441,IMG_4972,J_Denial,1,"The Government regrets, therefore, that internment here should be described in your message as ""sectarian""."
442,IMG_4972,J_Denial,2,"His Excellency’s advisers strenuously contest the claim in your 
message that internment has caused death and destruction."
448,IMG_4973,J_Denial,1,"This is perhaps a suggestion that people are interned because of their political views. The Prime Minister has publicly stated and repeated that persons are interned solely because they are deemed to be members of, or actively associated with, subversive organisations. 
Where 
the Advisory Committee have been satisfied that an internee does not fall into this category they have so recommended and that man has been released."
455,IMG_4974,J_Denial,1,"There have been complaints of illtreatment in other oases, all of which are investigated, although investigation is frequently difficult when complaints are made through newspapers rather than directly to the authorities concerned. Action is taken on well-founded complaints but there has been nothing to substantiate the statement in your telegram. Arrangements for medical examinations of internees have been further improved, not only to safeguard the interests of persons arrested but also to prevent baseless allegations."
462,IMG_5013,J_Denial,1,"Regulation 11 
provides a limited power of detention and a limited right to photograph and finger-print and Regulation 12 a limited right of internment. 
Regulation 13(5) provides 
that ’Persons detained or interned in any of Her Majesty’s prisons shall be subject to any rules for the government of prisoners awaiting trial including such general rules as are applicable to such prisoners, for the time being in force, except in so far as the said rules are inconsistent with this regulations."
469,IMG_5026,J_Denial,1,"Broad principles for the treatment of persons under arrest or detention 
during civil disturbances are laid down in Article 3 of The Geneva Convention Relative to the Treatment of Prisoners of War (1949). 
Military personnel 
will follow these principles when conducting interrogation. are 
(a) These principles 
Persons taking no active part in hostilities shall in all circumstances be treated humanely without any adverse distinction founded on race, colour, religion or faith, sex, birth, wealth or any other similar criteria."
476,IMG_5027,J_Denial,1,"(ii) outrages upon personal dignity, in particular, humiliating and degrading treatment."
477,IMG_5027,J_Denial,2,"Where practicable, all persons detained in the Interrogation Centre should 
be seen daily by a Medical Officer and asked if they have any complaints;"
483,IMG_5083,J_Denial,1,"Arrests 
- 342 men were arrested on August 9 in a highly successful 
operation in very difficult circumstances. No force but the minimum necessary was used to achieve arrest. The men concerned were likely to resist arrest and many of them were likely to be armed; in these circumstances the army’s performance was highly creditable."
490,IMG_0045,J_Denial,1,HE DID NOT BELIEVE THAT THE BRITISH GOVERNMENT WOULD PERMIT SITUATION IN WHICH THEIR ARMY WOULD NOT PROTECT PEOPLE WHOM THEY CALMED TO BE THEIR CITIZENS.
497,IMG_0050,J_Denial,1,"This will be done only after a careful scrutiny of information furnished to me by the polic in respect of each such person, sufficient to convince me that the individual in question is a threat to present peace and maintenance of order."
498,IMG_0050,J_Denial,2,Any such person will then have the right
504,IMG_0051,J_Denial,1,"of access to an advisory committee, which will hear representations for release and make recommendations to me."
505,IMG_0051,J_Denial,2,Nor is it in any way punitive or indiscriminate.
506,IMG_0051,J_Denial,3,"The main target of the present operation is the Irish 
Republican Army.which has been responsible for recent acts of terrorism, and whose victims have included Protestant and Roman Catholic alike"
511,IMG_0053,J_Denial,1,"The action we have now taken does not indicate any policy of repression. We are acting not to suppress freedom, but to allow the overwhelming mass of our people to enjoy freedom including freedom from fear of the gunman, of the nightly explosion, of fire-raising, of kangaroo courts and all the apparatus of terrorism."
518,IMG_0145,J_Denial,1,"would be Protestants. If Protestants engaged in terrorism they too would 
be dealt with; so far there was no infomation to confirm that Protestants had been sniping."
525,IMG_0166,J_Denial,1,"INTERNMENT IS AIMED ONLY AGAINST INDIVIDUALS 
CONDUCTING 
VIOLENCE AND TERRORISM, AND NOT AGAINST A RELIGIOUS MINORITY. THE MEASURES TAKEN WILL NOT DISCRIMINATE BETWEEN THE DIFFERENT SECTIONS OF THE COMMUNITY, EXCEPT AS THE FACTS OF THE SITUATION MAKE INEVITABLE."
526,IMG_0166,J_Denial,2,THE SECURITY FORCES DEAL WITH ANY LAW-BREAKING BY EXTREMIST PROTESTANTS AS FIRMLY AS THEY DEAL WITH SIMILAR TROUBLE COMING FROM ROMAN CATHOLIC ELEMENTS.
527,IMG_0166,J_Denial,3,INTERNEES CAN MAKE REPRESENTATIONS TO AN ADVISORY COMMITTEE.
532,IMG_0169,J_Denial,1,"I CANNOT OF COURSE COMMENT ON THE EFFECT IN THE NORTH, BUT I AM SURE IT WOULD HAVE A STEADYING EFFECT IN THE SOUTH IF, IN ADDITION TO THE DETAILS SUGGESTED IN MY TEL NO 302, H.M.G. COULD TAKE UP MR FAULKNER’S APPEAL TO THE CATHOLICS (FINAL PARAGRAPH OF HIS STATEMENT OF 9 AUGUST) BY STATING VERY CLEARLY THAT INTERNMENT IS ONLY A MEANS TO AN END AND THAT THIS END IS THE RAPID CREATION OF A SOCIETY FROM WHICH DISCRIMINATION AND INJUSTICE HAD BEEN ELIMINATED."
539,IMG_0176,J_Denial,1,"WE HAVE HOWEVER MADE CLEAR OUR VIEW THAT THE MEASURES TAKEN SHOULD NOT DISCRIMINATE AS BETWEEN THE DIFFERENT SECTIONS OF THE COMMUNITY, EXCEPT AS THE FACTS OF THE SITUATION MAKE INEVITABLE."
540,IMG_0176,J_Denial,2,"AN ADVISORY COMMITTEE WILL BE SET UP, TO WHICH ANY ONE WHO IS INTERNED WILL HAVE THE RIGHT TO MAKE REPRESENTATIONS"
546,IMG_0180,J_Denial,1,WE HAVE MADE CLEAR OUR VIEW THAT THE MEASURES TAKEN SHOULD NOT DISCRIMINATE AS BETWEEN THE DIFFERENT SECTIONS OF THE COMMUNITY EXCEPT AS THE FACTS OF THE SITUATION MAKE INEVITABLE.
547,IMG_0180,J_Denial,2,"AN ADVISORY COMMITTEE WILL BE SET UP, TO WHICH ANY ONE WHO IS INTERNED WILL HAVE THE RIGHT TO MAKE REPRESENTATIONS."
553,IMG_0187,J_Denial,1,"Page 1 : (62,253) - (421,311)"
554,IMG_0187,J_Denial,2,"taken should not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. 
We hve however made clear our view that the measures"
560,IMG_0193,J_Denial,1,"Page 1 : (96,186) - (462,215)"
561,IMG_0193,J_Denial,2,"We have that the measures taken 
not discriminate as between the different sections of the community, except as the facts of the situation make inevitable."
567,IMG_0195,J_Denial,1,"Page 1 : (68,635) - (429,660)"
568,IMG_0195,J_Denial,2,"WE HAVE HOWEVER MADE CLEAR OUR VIEW THAT THE MEASURES 
TAKEN SHOULD NOT DISCRIMINATE AS BETWEEN THE DIFFERENT SECTIONS OF THE COMMUNITY, EXCEPT AS THE FACTS OF THE SITUATION MAKE INEVITABLE."
574,IMG_0196,J_Denial,1,THE RIGHT TO MAKE REPRESENTATION.
575,IMG_0196,J_Denial,2,WE HAVE MADE CLEAR OUR VIEW THAT THE MEASUES
576,IMG_0196,J_Denial,3,"TAKEN SHOULD NOT DISCRIMINATE AS BETWEEN THE DIFFERENT SECTIONS OF THE COMMUNITY, EXCEPT AS THE FACTS OF THE SITUAION MAKE INEVITABLE."
577,IMG_0196,J_Denial,4,"AN ADVISOR 
COMMITTEE WILL BE SET UP, TO WHICH ANYONE WHO IS INTERNED WILL HAVE"
581,IMG_0201,J_Denial,1,"Page 1 : (107,267) - (463,373)"
582,IMG_0201,J_Denial,2,"We have however that the measures not discriminate as between the different 
sections of the community, except as the facts of the situation make inevitable."
588,IMG_0202,J_Denial,1,"Page 1 : (87,277) - (431,337)"
595,IMG_0206,J_Denial,1,"An advisory committee will be set up, to which 
any one who is interned will have the right to make representations."
602,IMG_0211,J_Denial,1,It would also be essential that the policy should be seen to be impartial in its application; and it would presumably be desirable for this purpose that those interned should include a certain number of Protestants.
609,IMG_5783,J_Denial,1,"Political progress in Northern Ireland is bound to be impeded so long as 
violence and intimidation continue; and the purpose of internment, and of the Army’s measures which are directed impartially at violence from whatever quarter, is to restore to Northern Ireland the necessary degree of stability for further political advance."
616,IMG_5837,J_Denial,1,"Mr. Joe Burns, the right wing Unionist and Junior Government Minister, on the other hand, thought such an inquiry unnecessary."
623,IMG_5838,J_Denial,1,"While he reaffirmed the constitutional position of Northern Ireland as part of the United Kingdom, he made a point of denying emphatically that internment was aimed at repressing the Roman Catholic community and said that he would continue to consider still further measures which would give the parliamentary Opposition greater participation in the running of Northern Ireland."
630,IMG_5858,J_Denial,1,"Political progress in Northern Ireland is bound to be impeded so long as violence and intimidation continue; and the purpose of internment, and of the Army’s measures which are directed impartially at violence from whatever quarter, is to restore to Northern Ireland the necessary degree of stability for further political advance."
637,IMG_5860,J_Denial,1,YOU SHOULD KNOW THAT THE PRINCIPLE OF EQUALITY OF TREATMENT FOR EVERYONE IN NORTHERN IRELAND IRRESPECTIVE OF POLITICAL VIEWS OR RELIGION IS THE ACCEPTED POLICY OF THE GOVERNMENTS OF THE UNITED KINGDOM AND OF NORTHERN IRELAND AND IS BEING FULLY IMPLEMENTED.
644,IMG_5863,J_Denial,1,"You should know that the principle of 
equality of treatment for everyone in Northern Ireland irrespective of political views or religion is the accepted policy of the Governments of the United Kingdom and of Northern Ireland and is being fully implemented."
651,IMG_5871,J_Denial,1,"MR FAULKNER said that the reaction 
of the minority community was not to be judged solely by reference to the violence that had accompanied the arrests, part of which was attributable to earlier events."
658,IMG_5872,J_Denial,1,"THE PRIME MINISTER said that, if support for the policies of the 2 Governments over internment was to be sustained in Great Britain, it was necessary to find a means to refute mischievous suggestions of deliberate brutality on the part of the security forces."
659,IMG_5872,J_Denial,2,It was also important that prompt action should be taken to set up the advisory committee for hearing representations against internment orders.
665,IMG_5873,J_Denial,1,The possibility of refuting allegations of vindictiveness in making arrests would be pursued.
672,IMG_5893,J_Denial,1,"Political Progress can only be impeded so long as violence and 
intimidation continue; and the purpose of internment, and of the Army’s measures which are directed impartially at violence from whatever quarter, is to restore to Northern Ireland the necessary degree of stability for further political advance."
679,IMG_5894,J_Denial,1,"Political progress can only be impeded so long as 
violence and intimidation continue: and the purpose of internment, and of the army’s measures which are directed impartially at violence from whatever quarter, is to restore to Northern Ireland the necessary degree of stability for further political advance."
686,IMG_5904,J_Denial,1,"Later in the evening I telephoned the United Kingdom Representative 
who told me that he had already raised the matter with the General Officer Commanding and that he had expressed satisfaction with the arrangements as they were now working. There appeared to be no question of any political interference. What had been done had been done deliberately for professional reasons."
693,IMG_5589,J_Denial,1,"Page 1 : (95,500) - (576,568)"
694,IMG_5589,J_Denial,2,"But I have made no Internment Order without 
being satisfied on evidence placed before me that the person concerned was and still is an active member of the Official or Provisional Wing of the I.R.A. or has been closely implicated in the recent I.R.A. campaign."
695,IMG_5589,J_Denial,3,"Persons who may be members of the Civil Rights 
Movement or the People’s Democracy, or of other organisation, are being interned only if they are also members of the I.R.A. or actively involved in it."
696,IMG_5589,J_Denial,4,"Members of various organisations who have been associated in one way or 
another with the I.R.A. are not included where I am not satisfied that they are sufficiently deeply implicated and committed to violence to justify their being interned."
697,IMG_5589,J_Denial,5,"as before within the limits of the law. 
Anyone in Northern Ireland is as free to express his views The only reason anyone is interned 
is that he belongs to, and has actively supported, an organisation which advocated and uses violence for political ends."
700,IMG_5590,J_Denial,1,"It is alleged that internment is being directed against the Catholic 
section of the population. This is simply untrue."
701,IMG_5590,J_Denial,2,"Internment involves the Catholic community only to the extent that 
some, I say some, member of that community have become involved in I.R.A. activity."
707,IMG_5591,J_Denial,1,"The Special Powers Regulations provide for the setting up of an 
Advisory Committee to consider representations from internees. His Honour 
Judge Brown has agreed to act as Chairman of this Committee."
708,IMG_5591,J_Denial,2,"It will be open to any internee, and all have been informed of their 
rights, to put his case to the Committee, verbally or in writing, or by both means. 
If he wishes to have legal advice in submitting a written case 
he may do so and the Government has arranged that financial arrangements similar to those available under the legal aid scheme will be applicable."
714,IMG_5604,J_Denial,1,"As internment had 
been resorted to it was right to give all those confined access to the Appeal Tribunal. 
Internment Orders were therefore being made against all who were alleged to be actively associated with the I.R.A. Anyone who contested this"
721,IMG_5605,J_Denial,1,allegation had the opportunity of putting the issue before the Tribunal.
728,IMG_5696,J_Denial,1,"We have done so fully recog- 
nising that each of us remains committed to his publicly stated position on the constitutional status of Northern Ireland; and we have been concerned to see whether, without prejudice to those positions, we can find some agreed means of enabling all the people of Northern Ireland to live in the conditions of peace and stability which any democracy should ensure to its citizens without regard to their religious or political conviction."
735,IMG_5697,J_Denial,1,"During the last two days we have discussed the 
situation in Northern Ireland in all its aspects. We have done so fully recognising that each of us remains committed to his publicly stated position on the constitutional status of Northern Ireland; and we have been concerned to see whether, without prejudice to those positions, we can find some agreed means of enabling all the people of Northern Ireland to live in the conditions of peace and stability which any democracy should ensure to its citizens without regard to their religious or political conviction."
742,IMG_5707,J_Denial,1,"Then, try to get Mr. Faulkner to justify the way in which internment 
has been carried out and the treatment which has been given to the internees. (Some reference to the conditions at Long Kesh; the Red Cross inspection; the derogation under the European Convention on Human Rights, etc"
743,IMG_5707,J_Denial,2,"Back this up with an undertaking that the appeals procedure (due to 
begin on Saturday) will be conducted as rapidly as possible and will embrace all internees, whether they appeal or not."
744,IMG_5707,J_Denial,3,"Play down the prospect of further internment. (In this connection I 
have told Sir Harold Black that, while we are not asking the Government of Northern Ireland to stop pulling people in, they should keep very quiet about the existence of a further list with as many as 200 names on it. 
Typically, 
he did not even know that the list existed!)."
