,Unnamed: 0,image_id,file_id,img_file_orig,file_start_year,file_start_month,file_end_year,file_end_month,date_coded,occurances,text,clean_text,justification_J_Denial,justification_J_Development-Unity,justification_J_Emergency-Policy,justification_J_Intelligence,justification_J_Intl-Domestic_Precedent,justification_J_Last-resort,justification_J_Law-and-order,justification_J_Legal_Procedure,justification_J_Misc,justification_J_Political-Strategic,justification_J_Terrorism,justification_J_Utilitarian-Deterrence,justification_cat
10,10,IMG_8057,PREM_15_1013,IMG_8057_PREM_15_1013,1972,8,1972,9,,1,"Pending the report of the commission and of 
the subsequent legislation on it, the Government therefore proposes at an early date to introduce interim legislation under the Special Powers Act to set up a special tribunal to deal with persons accused of terrorist activities by means of a procedure which will preserve the essentials of natural justice, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland.
",pending the report of the commission and of the subsequent legislation on it the government therefore proposes at an early date to introduce interim legislation under the special powers act to set up a special tribunal to deal with persons accused of terrorist activities by means of a procedure which will preserve the essentials of natural justice but which will be matched to the special conditions which unfortunately obtain in northern ireland,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
11,11,IMG_8057,PREM_15_1013,IMG_8057_PREM_15_1013,1972,8,1972,9,,2,"But the Government 
wishes to make clear at once that these measures will not in any way be directed against the holding of opinions, but only against the use of violence and terror to force those opinions on law",but the government wishes to make clear at once that these measures will not in any way be directed against the holding of opinions but only against the use of violence and terror to force those opinions on law,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
12,12,IMG_8058,PREM_15_1013,IMG_8058_PREM_15_1013,1972,8,1972,9,,1,"abiding citizens.
",abiding citizens,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
13,13,IMG_8058,PREM_15_1013,IMG_8058_PREM_15_1013,1972,8,1972,9,,2,"Moreover, these Interim provisions will be 
employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence.",moreover these interim provisions will be employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
14,14,IMG_8291,PREM_15_1015,IMG_8291_PREM_15_1015,1972,10,1972,11,,1,"The Prime Minister said that the Army statement had been concerned to deny the wide general allegations which had been made, and was justified in so doing.",the prime minister said that the army statement had been concerned to deny the wide general allegations which had been made and was justified in so doing,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
15,15,IMG_8880,PREM_15_1691,IMG_8880_PREM_15_1691,1973,3,1973,3,,1,"Dr. Fitzgerald asked the British Government‰Ûªs intentions on 
internment. The Prime Minister said that the British Government 
had changed the basis on which people were detained in Northern Ireland. 
Powers Act. 
The White Paper would deal with the future of the Special",dr fitzgerald asked the british governments intentions on internment the prime minister said that the british government had changed the basis on which people were detained in northern ireland powers act the white paper would deal with the future of the special,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
16,16,IMG_9316,PREM_15_1692,IMG_9316_PREM_15_1692,1973,3,1973,4,1973-04,1,"The Foreign and Commonwealth Secretary and the Secretary of 
State for Northern Ireland agree (as does Tom Bridges) that it will be helpful for you to send a further message to the Pope explaining the present position on ""internment"" - as he persists in calling it and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper
",the foreign and commonwealth secretary and the secretary of state for northern ireland agree as does tom bridges that it will be helpful for you to send a further message to the pope explaining the present position on internment  as he persists in calling it and expressing the hope that the pope will be able to make a public and welcoming reference to the white paper,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
17,17,IMG_9316,PREM_15_1692,IMG_9316_PREM_15_1692,1973,3,1973,4,1973-04,2,"When Mr. Whitelaw lunched today with Cardinal Heenan he 
discovered that the Cardinal had very little idea of the new procedures for detention. 
Cardinal Heenan said that he did not 
believe that the changes we have made were understood in Rome. In the light of this conversation and of the Cardinal‰Ûªs favourable reaction to what he was told, Mr. Whitelaw thinks that there is all the stronger case for sending a further message to the Pope.",when mr whitelaw lunched today with cardinal heenan he discovered that the cardinal had very little idea of the new procedures for detention cardinal heenan said that he did not believe that the changes we have made were understood in rome in the light of this conversation and of the cardinals favourable reaction to what he was told mr whitelaw thinks that there is all the stronger case for sending a further message to the pope,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
18,18,IMG_9317,PREM_15_1692,IMG_9317_PREM_15_1692,1973,3,1973,4,1973-04,1,I agree that the Pope‰Ûªs reference to internment was a disappointing feature of his message. The message suggests a possible misunderstanding of the situation.,i agree that the popes reference to internment was a disappointing feature of his message the message suggests a possible misunderstanding of the situation,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
19,19,IMG_9320,PREM_15_1692,IMG_9320_PREM_15_1692,1973,3,1973,4,,1,"While the Commission was deliberating, the 
Government proposed, and Parliament in Westminster approved, the abolition of internment by the Executive as it had been practised 
Northern 
Ireland law, and the enactment, as an interim measure pending the Commission‰Ûªs Report, procedures for detention.
",while the commission was deliberating the government proposed and parliament in westminster approved the abolition of internment by the executive as it had been practised northern ireland law and the enactment as an interim measure pending the commissions report procedures for detention,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
20,20,IMG_9320,PREM_15_1692,IMG_9320_PREM_15_1692,1973,3,1973,4,,2,"Specific safeguards were incorporated, which have been in operation since 7 November 1972, as follows",specific safeguards were incorporated which have been in operation since 7 november 1972 as follows,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
21,21,IMG_9321,PREM_15_1692,IMG_9321_PREM_15_1692,1973,3,1973,4,,1,"a person detained by order of a commissioner has a right of appeal to an independent tribunal
",a person detained by order of a commissioner has a right of appeal to an independent tribunal,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
22,22,IMG_9321,PREM_15_1692,IMG_9321_PREM_15_1692,1973,3,1973,4,,2,"(d) a person appearing before a commissioner is given in advance a statement of the terrorist activities he is alleged to have engaged in; 
(e) such a person may give evidence and be legally represented.
",d a person appearing before a commissioner is given in advance a statement of the terrorist activities he is alleged to have engaged in e such a person may give evidence and be legally represented,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
23,23,IMG_9321,PREM_15_1692,IMG_9321_PREM_15_1692,1973,3,1973,4,,3,"This is a far cry from internment.
",this is a far cry from internment,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
24,24,IMG_9321,PREM_15_1692,IMG_9321_PREM_15_1692,1973,3,1973,4,,4,The procedures contain all possible safeguards against injustice.,the procedures contain all possible safeguards against injustice,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
25,25,IMG_9325,PREM_15_1692,IMG_9325_PREM_15_1692,1973,3,1973,4,1973-04,1,"While believing that the Pope‰Ûªs attitude hitherto 
hardly suggests he will give a forthright lead, the Foreign and Commonwealth Secretary agrees with the Prime Minister that it would be helpful to send a further message explaining the present position on ""internment"" (as the Pope persists in calling it), and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper.",while believing that the popes attitude hitherto hardly suggests he will give a forthright lead the foreign and commonwealth secretary agrees with the prime minister that it would be helpful to send a further message explaining the present position on internment as the pope persists in calling it and expressing the hope that the pope will be able to make a public and welcoming reference to the white paper,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
26,26,IMG_9330,PREM_15_1692,IMG_9330_PREM_15_1692,1973,3,1973,4,1973-04,1,"Northern Ireland, the Prime Minister sees considerable attracticn in a fairly open statement of support by the Pope for the White Paper proposals; and Pope Paul may be more willing to speak out if he can be persuaded that we have taken positive steps on internment.",northern ireland the prime minister sees considerable attracticn in a fairly open statement of support by the pope for the white paper proposals and pope paul may be more willing to speak out if he can be persuaded that we have taken positive steps on internment,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
27,27,IMG_9334,PREM_15_1692,IMG_9334_PREM_15_1692,1973,3,1973,4,1973-04,1,"A personal explanation from you of what we have done on internment will make much more of an impact on the Pope than Mr. Crawley‰Ûªs discussions with Vatican officials. 
Subject to Mr. Whitelaw‰Ûªs views, 
there is considerable attraction in a fairly open statement of support by the Pope for the White Paper proposals; and he may be more willing to speak out if he can be persuaded that we have taken positive steps on internment.",a personal explanation from you of what we have done on internment will make much more of an impact on the pope than mr crawleys discussions with vatican officials subject to mr whitelaws views there is considerable attraction in a fairly open statement of support by the pope for the white paper proposals and he may be more willing to speak out if he can be persuaded that we have taken positive steps on internment,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
28,28,IMG_9335,PREM_15_1692,IMG_9335_PREM_15_1692,1973,3,1973,4,1973-04,1,"THIS WAS SOMEWHAT UNEXPECTED AS PARAGRAPHS 58 TO 60 OF THE WHITE PAPER DEALT WITH THIS POINT AND WE HAD SENT THE VATICAN THE TEXT OF MR WHITELAW‰ÛªS STATEMENT MADE IN THE HOUSE OF COMMONS ON 20 DECEMBER LAST ON THE REPORT OF THE DIPLOCK COMMISSION. WE HAD ALSO SENT THE TEXT OF THE PRIME MINISTER‰ÛªS SIMILAR STATEMENT ON 28 MARCH WHICH AGAIN DEALS WITH INTERNMENT. MOREOVER, THE PRIME MINISTER. HIMSELF HAD EXPLAINED TO THE POPE OUR DIFFICULTIES ABOUT INTERNMENT",this was somewhat unexpected as paragraphs 58 to 60 of the white paper dealt with this point and we had sent the vatican the text of mr whitelaws statement made in the house of commons on 20 december last on the report of the diplock commission we had also sent the text of the prime ministers similar statement on 28 march which again deals with internment moreover the prime minister himself had explained to the pope our difficulties about internment,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
29,29,IMG_9336,PREM_15_1692,IMG_9336_PREM_15_1692,1973,3,1973,4,,1,"DURING THEIR MEETING LAST OCTOBER, INFORMING HIM THAT, SINCE THE INTRODUCTION OF DIRECT RULE, THE NUMBER OF INTERNEES HAD BEEN REDUCED FROM OVER 1,000 TO SOME 171 AND THAT MORE WOULD SOON BE RELEASED.",during their meeting last october informing him that since the introduction of direct rule the number of internees had been reduced from over 1000 to some 171 and that more would soon be released,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
30,30,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,1972,6,1972,8,,1,"Page 1 : (130,497) - (482,537)",,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
31,31,IMG_1808,CJ_4_458,IMG_1808_CJ_4_458,1972,5,1973,1,,1,If the answers given do not raise a sufficient suspicion to justify arrest he must be allowed to go on his way immediately.,if the answers given do not raise a sufficient suspicion to justify arrest he must be allowed to go on his way immediately,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
32,32,IMG_1924,CJ_4_458,IMG_1924_CJ_4_458,1972,5,1973,1,No_date,1,"Though the name of the organisation is ambiguous, the ALJ is not in any sense a legal body but a propaganda group. The ALJ forms what might be termed an unofficial complaints bureau whereby anyone having a complaint, real or imagined, can-get in touch with willing solicitors who will take down a deposition which has every appearance of a legal document.
",though the name of the organisation is ambiguous the alj is not in any sense a legal body but a propaganda group the alj forms what might be termed an unofficial complaints bureau whereby anyone having a complaint real or imagined canget in touch with willing solicitors who will take down a deposition which has every appearance of a legal document,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
33,33,IMG_1924,CJ_4_458,IMG_1924_CJ_4_458,1972,5,1973,1,No_date,2,"It is interesting to note that this technique is justified by ALJ on the grounds that no one can expect justice from the courts here, yet cases when the courts have found against members of the security forces for assault or other offences have been reported in the newspapers.",it is interesting to note that this technique is justified by alj on the grounds that no one can expect justice from the courts here yet cases when the courts have found against members of the security forces for assault or other offences have been reported in the newspapers,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
34,34,IMG_1925,CJ_4_458,IMG_1925_CJ_4_458,1972,5,1973,1,,1,"Fundamentally the ALJ provides the IRA with a platform for spreading lies. It is a fact that IRA men have standing instructions that, after being in the hands of the security forces, they should make allegations of brutality. As a result of this, a defendant has now only to say his statement was taken under duress to enjoy a very good chance of having it disallowed - an example of the effectiveness of propaganda.",fundamentally the alj provides the ira with a platform for spreading lies it is a fact that ira men have standing instructions that after being in the hands of the security forces they should make allegations of brutality as a result of this a defendant has now only to say his statement was taken under duress to enjoy a very good chance of having it disallowed  an example of the effectiveness of propaganda,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
35,35,IMG_1931,CJ_4_458,IMG_1931_CJ_4_458,1972,5,1973,1,1972-05,1,"When an admission was made during the course of interrogation, Special Branch called on the CID, would remove the prisoner to a Police Station and treat him there in strict accordance with the judges‰Ûª rules: statements would be taken, etc.",when an admission was made during the course of interrogation special branch called on the cid would remove the prisoner to a police station and treat him there in strict accordance with the judges rules statements would be taken etc,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
36,36,IMG_1932,CJ_4_458,IMG_1932_CJ_4_458,1972,5,1973,1,,1,"They could not defend physical contact between the interrogator and his prisoner, and Lord Windlesham was therefore particularly glad to learn that this was specifically prohibited.",they could not defend physical contact between the interrogator and his prisoner and lord windlesham was therefore particularly glad to learn that this was specifically prohibited,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
37,37,IMG_2327,DEFE_13_917,IMG_2327_DEFE_13_917,1971,,1971,,No_date,1,"Page 1 : (168,688) - (626,769)",,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
38,38,IMG_2141,DEFE_13_919,IMG_2141_DEFE_13_919,1972,,1972,,,1,"Military personnel are to acquaint themselves 
with the laws of the country concerned, and will not act unlawfully under any circumstances whatever.",military personnel are to acquaint themselves with the laws of the country concerned and will not act unlawfully under any circumstances whatever,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
39,39,IMG_2151,DEFE_24_1214,IMG_2151_DEFE_24_1214,1971,1,1971,12,,1,"ntenos are to be treated fairly but frmly. No monber of the Staif 
ecr.-Powers of Cnimanda .: 
will be ptrmitted to adopt an aggressivo or buying manuiortownl them.-",ntenos are to be treated fairly but frmly no monber of the staif ecrpowers of cnimanda  will be ptrmitted to adopt an aggressivo or buying manuiortownl them,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
40,40,IMG_2162,DEFE_24_1214,IMG_2162_DEFE_24_1214,1971,1,1971,12,No_date,1,"This will be done only after a careful scrutiny of information furnished to me by the police in respect of each ouch person, sufficient to convince me that the individual in question is a threat to present peace and maintenance of order. Any such person will then have the right",this will be done only after a careful scrutiny of information furnished to me by the police in respect of each ouch person sufficient to convince me that the individual in question is a threat to present peace and maintenance of order any such person will then have the right,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
41,41,IMG_2163,DEFE_24_1214,IMG_2163_DEFE_24_1214,1971,1,1971,12,,1,"of access to an advisory committee. which will hear representations for release and make recommendations to me.
",of access to an advisory committee which will hear representations for release and make recommendations to me,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
42,42,IMG_2163,DEFE_24_1214,IMG_2163_DEFE_24_1214,1971,1,1971,12,,2,"This is not action taken against any responsible and law- 
abiding section of the community. Nor is it in any way punitive or indiscriminate.
",this is not action taken against any responsible and law abiding section of the community nor is it in any way punitive or indiscriminate,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
43,43,IMG_2163,DEFE_24_1214,IMG_2163_DEFE_24_1214,1971,1,1971,12,,3,Is it more of an evil than to allow the perpetrators of these outrages to remain at liberty?,is it more of an evil than to allow the perpetrators of these outrages to remain at liberty,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
44,44,IMG_2165,DEFE_24_1214,IMG_2165_DEFE_24_1214,1971,1,1971,12,,1,"The action we have now taken does not indicate any policy of repression. We are acting not to suppress freedom, but to allow the overwhelming mass of our people to enjoy freedom",the action we have now taken does not indicate any policy of repression we are acting not to suppress freedom but to allow the overwhelming mass of our people to enjoy freedom,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
45,45,IMG_2172,DEFE_24_1214,IMG_2172_DEFE_24_1214,1971,1,1971,12,1971-07,1,"During thin period in he protoctod by the Judges Rules?
",during thin period in he protoctod by the judges rules,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
46,46,IMG_2172,DEFE_24_1214,IMG_2172_DEFE_24_1214,1971,1,1971,12,1971-07,2,"Under Regulation 11(2) a person ay be detained by ardor until (a) he bas been dischared by direction of the Attorney-Geneml or (b) he is brought before a Court of uraarys 
Jurisdiotion.",under regulation 112 a person ay be detained by ardor until a he bas been dischared by direction of the attorneygeneml or b he is brought before a court of uraarys jurisdiotion,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
47,47,IMG_2179,DEFE_24_1214,IMG_2179_DEFE_24_1214,1971,1,1971,12,,1,": 
at the centre. b. 
All legal formalities relating to the custody of arrested persons
", at the centre b all legal formalities relating to the custody of arrested persons,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
48,48,IMG_2179,DEFE_24_1214,IMG_2179_DEFE_24_1214,1971,1,1971,12,,2,"Adminstrative arrangements for running the centre including 
the accommodation, medical care and messing of all persons in the centre. There must be a full medical check by a doctor of every arrested person when he enters the centre.",adminstrative arrangements for running the centre including the accommodation medical care and messing of all persons in the centre there must be a full medical check by a doctor of every arrested person when he enters the centre,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
49,49,IMG_2180,DEFE_24_1214,IMG_2180_DEFE_24_1214,1971,1,1971,12,,1,on the general principle that personnel must never use more force then the minimum necessary to enable them to carry out their duties.,on the general principle that personnel must never use more force then the minimum necessary to enable them to carry out their duties,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
50,50,IMG_2187,DEFE_24_1214,IMG_2187_DEFE_24_1214,1971,1,1971,12,,1,"Page 1 : (129,291) - (470,338)",,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
51,51,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,1971,1,1971,12,,1,"Page 1 : (19,273) - (582,306)",,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
52,52,IMG_2194,DEFE_24_1214,IMG_2194_DEFE_24_1214,1971,1,1971,12,,1,"We have however sought to ensure that the measures 
taken do not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. 
Protestant as well as Catholic 
and I.R.A. extremists will be liable to internment",we have however sought to ensure that the measures taken do not discriminate as between the different sections of the community except as the facts of the situation make inevitable protestant as well as catholic and ira extremists will be liable to internment,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
53,53,IMG_2197,DEFE_24_1214,IMG_2197_DEFE_24_1214,1971,1,1971,12,,1,"We have sought to ensure that the measures taken do not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. 
Protestants as well as Catholic and I.R.A., 
extremists will be liable to internment;
",we have sought to ensure that the measures taken do not discriminate as between the different sections of the community except as the facts of the situation make inevitable protestants as well as catholic and ira extremists will be liable to internment,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
54,54,IMG_2197,DEFE_24_1214,IMG_2197_DEFE_24_1214,1971,1,1971,12,,2,we hope that these measures can be strictly temporary,we hope that these measures can be strictly temporary,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
55,55,IMG_2207,DEFE_24_1214,IMG_2207_DEFE_24_1214,1971,1,1971,12,,1,I SHOULD ALSO SEER HIS AGREEMENT THAT OUR DISCUSSION ON INTERNMENT IS TOTALLY DENIABLE AND HAS NOT TAKEN PLACE.,i should also seer his agreement that our discussion on internment is totally deniable and has not taken place,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
56,56,IMG_2210,DEFE_24_1214,IMG_2210_DEFE_24_1214,1971,1,1971,12,,1,Membership of a review tribunal was raised.,membership of a review tribunal was raised,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
57,57,IMG_2245,DEFE_24_1214,IMG_2245_DEFE_24_1214,1971,1,1971,12,1971-05,1,"Should at any stage there be overcrowding in the camp, as Chambers has pointed out, there is space for an extra hut in the camp layout.",should at any stage there be overcrowding in the camp as chambers has pointed out there is space for an extra hut in the camp layout,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
58,58,IMG_2255,DEFE_24_1214,IMG_2255_DEFE_24_1214,1971,1,1971,12,,1,"and the alternative use of the buildings as accommod tion for British troops.
",and the alternative use of the buildings as accommod tion for british troops,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
59,59,IMG_2255,DEFE_24_1214,IMG_2255_DEFE_24_1214,1971,1,1971,12,,2,"The second ground - troop accommodation - needs to be examined 
against the background of current and projected force levels and the means of housing them.",the second ground  troop accommodation  needs to be examined against the background of current and projected force levels and the means of housing them,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
60,60,IMG_2256,DEFE_24_1214,IMG_2256_DEFE_24_1214,1971,1,1971,12,,1,"(a) to authenticate the cover story, it is essential that the camp should be seen to be performing its secondary role; it will therefore need to be occupied, as much as possible, by British troops;
",a to authenticate the cover story it is essential that the camp should be seen to be performing its secondary role it will therefore need to be occupied as much as possible by british troops,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
61,61,IMG_2256,DEFE_24_1214,IMG_2256_DEFE_24_1214,1971,1,1971,12,,2,"There is no doubt that, if not required for 
internment purposes, the camp could be immediately occupied by troops and thereafter constantly and fully used.",there is no doubt that if not required for internment purposes the camp could be immediately occupied by troops and thereafter constantly and fully used,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
62,62,IMG_2262,DEFE_24_1214,IMG_2262_DEFE_24_1214,1971,1,1971,12,No_date,1,"and that it w-as docirable for an alternative uco -or Ohe accommodation to to, found.
",and that it was docirable for an alternative uco or ohe accommodation to to found,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
63,63,IMG_2262,DEFE_24_1214,IMG_2262_DEFE_24_1214,1971,1,1971,12,No_date,2,"Givon that. the reyal purpoco of tho accommodation munt not be divulgod in public,‰Ûª the Northorn Ireland Govornment have confirmod that they can see no viay in overcoming two major difficultico",givon that the reyal purpoco of tho accommodation munt not be divulgod in public the northorn ireland govornment have confirmod that they can see no viay in overcoming two major difficultico,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
64,64,IMG_2263,DEFE_24_1214,IMG_2263_DEFE_24_1214,1971,1,1971,12,,1,"and the alternative 
i use of. the buildings as accommodation for ritiah troops.",and the alternative i use of the buildings as accommodation for ritiah troops,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
65,65,IMG_2265,DEFE_24_1214,IMG_2265_DEFE_24_1214,1971,1,1971,12,,1,"As an indication of Long Koh‰Ûªso valuo, thore is no doubt that co long as it vaa not required for internoos, it would be used to houco‰Ûª troops inodiatoly on ito completion.
",as an indication of long kohso valuo thore is no doubt that co long as it vaa not required for internoos it would be used to houco troops inodiatoly on ito completion,1,0,0,0,0,0,0,0,0,0,0,0,J_Denial
