,raw_text,image_id,file_id,just_text_lump,just_text_lump2,just_text
10,"Files\\EKG_round1\\PREM 15 1015\\IMG_8291_PREM_15_1015 - § 1 reference coded [ 5.73% Coverage]
Reference 1 - 5.73% Coverage
The Prime Minister said that the Army statement had been concerned to deny the wide general allegations which had been made, and was justified in so doing.
",IMG_8291,PREM_15_1015,"]

The Prime Minister said that the Army statement had been concerned to deny the wide general allegations which had been made, and was justified in so doing.", The Prime Minister said that the Army statement had been concerned to deny the wide general allegations which had been made and was justified in so doing ,"Reference 1 - 5.73% Coverage
The Prime Minister said that the Army statement had been concerned to deny the wide general allegations which had been made, and was justified in so doing."
11,"Files\\EKG_round1\\PREM 15 1691\\IMG_8880_PREM_15_1691 - § 1 reference coded [ 7.25% Coverage]
Reference 1 - 7.25% Coverage
Dr. Fitzgerald asked the British Government’s intentions on 
internment. The Prime Minister said that the British Government 
had changed the basis on which people were detained in Northern Ireland. 
Powers Act. 
The White Paper would deal with the future of the Special
",IMG_8880,PREM_15_1691,"]

Dr. Fitzgerald asked the British Government’s intentions on 
internment. The Prime Minister said that the British Government 
had changed the basis on which people were detained in Northern Ireland. 
Powers Act. 
The White Paper would deal with the future of the Special", Dr Fitzgerald asked the British Government s intentions on internment The Prime Minister said that the British Government had changed the basis on which people were detained in Northern Ireland Powers Act The White Paper would deal with the future of the Special,"Reference 1 - 7.25% Coverage
Dr. Fitzgerald asked the British Government’s intentions on 
internment. The Prime Minister said that the British Government 
had changed the basis on which people were detained in Northern Ireland. 
Powers Act. 
The White Paper would deal with the future of the Special"
12,"Files\\EKG_round1\\PREM 15 1692\\IMG_9316_PREM_15_1692 - § 2 references coded [ 35.96% Coverage]
Reference 1 - 16.51% Coverage
The Foreign and Commonwealth Secretary and the Secretary of 
State for Northern Ireland agree (as does Tom Bridges) that it will be helpful for you to send a further message to the Pope explaining the present position on ""internment"" - as he persists in calling it and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper
Reference 2 - 19.45% Coverage
When Mr. Whitelaw lunched today with Cardinal Heenan he 
discovered that the Cardinal had very little idea of the new procedures for detention. 
Cardinal Heenan said that he did not 
believe that the changes we have made were understood in Rome. In the light of this conversation and of the Cardinal’s favourable reaction to what he was told, Mr. Whitelaw thinks that there is all the stronger case for sending a further message to the Pope.
",IMG_9316,PREM_15_1692,"]

The Foreign and Commonwealth Secretary and the Secretary of 
State for Northern Ireland agree (as does Tom Bridges) that it will be helpful for you to send a further message to the Pope explaining the present position on ""internment"" - as he persists in calling it and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper

When Mr. Whitelaw lunched today with Cardinal Heenan he 
discovered that the Cardinal had very little idea of the new procedures for detention. 
Cardinal Heenan said that he did not 
believe that the changes we have made were understood in Rome. In the light of this conversation and of the Cardinal’s favourable reaction to what he was told, Mr. Whitelaw thinks that there is all the stronger case for sending a further message to the Pope.", The Foreign and Commonwealth Secretary and the Secretary of State for Northern Ireland agree as does Tom Bridges that it will be helpful for you to send a further message to the Pope explaining the present position on internment as he persists in calling it and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper When Mr Whitelaw lunched today with Cardinal Heenan he discovered that the Cardinal had very little idea of the new procedures for detention Cardinal Heenan said that he did not believe that the changes we have made were understood in Rome In the light of this conversation and of the Cardinal s favourable reaction to what he was told Mr Whitelaw thinks that there is all the stronger case for sending a further message to the Pope ,"Reference 1 - 16.51% Coverage
The Foreign and Commonwealth Secretary and the Secretary of 
State for Northern Ireland agree (as does Tom Bridges) that it will be helpful for you to send a further message to the Pope explaining the present position on ""internment"" - as he persists in calling it and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper
Reference 2 - 19.45% Coverage
When Mr. Whitelaw lunched today with Cardinal Heenan he 
discovered that the Cardinal had very little idea of the new procedures for detention. 
Cardinal Heenan said that he did not 
believe that the changes we have made were understood in Rome. In the light of this conversation and of the Cardinal’s favourable reaction to what he was told, Mr. Whitelaw thinks that there is all the stronger case for sending a further message to the Pope."
13,"Files\\EKG_round1\\PREM 15 1692\\IMG_9317_PREM_15_1692 - § 1 reference coded [ 16.79% Coverage]
Reference 1 - 16.79% Coverage
I agree that the Pope’s reference to internment was a disappointing feature of his message. The message suggests a possible misunderstanding of the situation.
",IMG_9317,PREM_15_1692,"]

I agree that the Pope’s reference to internment was a disappointing feature of his message. The message suggests a possible misunderstanding of the situation.", I agree that the Pope s reference to internment was a disappointing feature of his message The message suggests a possible misunderstanding of the situation ,"Reference 1 - 16.79% Coverage
I agree that the Pope’s reference to internment was a disappointing feature of his message. The message suggests a possible misunderstanding of the situation."
14,"Files\\EKG_round1\\PREM 15 1692\\IMG_9320_PREM_15_1692 - § 2 references coded [ 17.82% Coverage]
Reference 1 - 13.27% Coverage
While the Commission was deliberating, the 
Government proposed, and Parliament in Westminster approved, the abolition of internment by the Executive as it had been practised 
Northern 
Ireland law, and the enactment, as an interim measure pending the Commission’s Report, procedures for detention.
Reference 2 - 4.55% Coverage
Specific safeguards were incorporated, which have been in operation since 7 November 1972, as follows
",IMG_9320,PREM_15_1692,"]

While the Commission was deliberating, the 
Government proposed, and Parliament in Westminster approved, the abolition of internment by the Executive as it had been practised 
Northern 
Ireland law, and the enactment, as an interim measure pending the Commission’s Report, procedures for detention.

Specific safeguards were incorporated, which have been in operation since 7 November 1972, as follows", While the Commission was deliberating the Government proposed and Parliament in Westminster approved the abolition of internment by the Executive as it had been practised Northern Ireland law and the enactment as an interim measure pending the Commission s Report procedures for detention Specific safeguards were incorporated which have been in operation since 7 November 1972 as follows,"Reference 1 - 13.27% Coverage
While the Commission was deliberating, the 
Government proposed, and Parliament in Westminster approved, the abolition of internment by the Executive as it had been practised 
Northern 
Ireland law, and the enactment, as an interim measure pending the Commission’s Report, procedures for detention.
Reference 2 - 4.55% Coverage
Specific safeguards were incorporated, which have been in operation since 7 November 1972, as follows"
15,"Files\\EKG_round1\\PREM 15 1692\\IMG_9321_PREM_15_1692 - § 4 references coded [ 18.21% Coverage]
Reference 1 - 4.24% Coverage
a person detained by order of a commissioner has a right of appeal to an independent tribunal
Reference 2 - 9.24% Coverage
(d) a person appearing before a commissioner is given in advance a statement of the terrorist activities he is alleged to have engaged in; 
(e) such a person may give evidence and be legally represented.
Reference 3 - 1.54% Coverage
This is a far cry from internment.
Reference 4 - 3.19% Coverage
The procedures contain all possible safeguards against injustice.
",IMG_9321,PREM_15_1692,"]

a person detained by order of a commissioner has a right of appeal to an independent tribunal

(d) a person appearing before a commissioner is given in advance a statement of the terrorist activities he is alleged to have engaged in; 
(e) such a person may give evidence and be legally represented.

This is a far cry from internment.

The procedures contain all possible safeguards against injustice.", a person detained by order of a commissioner has a right of appeal to an independent tribunal d a person appearing before a commissioner is given in advance a statement of the terrorist activities he is alleged to have engaged in e such a person may give evidence and be legally represented This is a far cry from internment The procedures contain all possible safeguards against injustice ,"Reference 1 - 4.24% Coverage
a person detained by order of a commissioner has a right of appeal to an independent tribunal
Reference 2 - 9.24% Coverage
(d) a person appearing before a commissioner is given in advance a statement of the terrorist activities he is alleged to have engaged in; 
(e) such a person may give evidence and be legally represented.
Reference 3 - 1.54% Coverage
This is a far cry from internment.
Reference 4 - 3.19% Coverage
The procedures contain all possible safeguards against injustice."
16,"Files\\EKG_round1\\PREM 15 1692\\IMG_9325_PREM_15_1692 - § 1 reference coded [ 24.89% Coverage]
Reference 1 - 24.89% Coverage
While believing that the Pope’s attitude hitherto 
hardly suggests he will give a forthright lead, the Foreign and Commonwealth Secretary agrees with the Prime Minister that it would be helpful to send a further message explaining the present position on ""internment"" (as the Pope persists in calling it), and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper.
",IMG_9325,PREM_15_1692,"]

While believing that the Pope’s attitude hitherto 
hardly suggests he will give a forthright lead, the Foreign and Commonwealth Secretary agrees with the Prime Minister that it would be helpful to send a further message explaining the present position on ""internment"" (as the Pope persists in calling it), and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper.", While believing that the Pope s attitude hitherto hardly suggests he will give a forthright lead the Foreign and Commonwealth Secretary agrees with the Prime Minister that it would be helpful to send a further message explaining the present position on internment as the Pope persists in calling it and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper ,"Reference 1 - 24.89% Coverage
While believing that the Pope’s attitude hitherto 
hardly suggests he will give a forthright lead, the Foreign and Commonwealth Secretary agrees with the Prime Minister that it would be helpful to send a further message explaining the present position on ""internment"" (as the Pope persists in calling it), and expressing the hope that the Pope will be able to make a public and welcoming reference to the White Paper."
17,"Files\\EKG_round1\\PREM 15 1692\\IMG_9330_PREM_15_1692 - § 1 reference coded [ 9.18% Coverage]
Reference 1 - 9.18% Coverage
Northern Ireland, the Prime Minister sees considerable attracticn in a fairly open statement of support by the Pope for the White Paper proposals; and Pope Paul may be more willing to speak out if he can be persuaded that we have taken positive steps on internment.
",IMG_9330,PREM_15_1692,"]

Northern Ireland, the Prime Minister sees considerable attracticn in a fairly open statement of support by the Pope for the White Paper proposals; and Pope Paul may be more willing to speak out if he can be persuaded that we have taken positive steps on internment.", Northern Ireland the Prime Minister sees considerable attracticn in a fairly open statement of support by the Pope for the White Paper proposals and Pope Paul may be more willing to speak out if he can be persuaded that we have taken positive steps on internment ,"Reference 1 - 9.18% Coverage
Northern Ireland, the Prime Minister sees considerable attracticn in a fairly open statement of support by the Pope for the White Paper proposals; and Pope Paul may be more willing to speak out if he can be persuaded that we have taken positive steps on internment."
18,"Files\\EKG_round1\\PREM 15 1692\\IMG_9334_PREM_15_1692 - § 1 reference coded [ 18.95% Coverage]
Reference 1 - 18.95% Coverage
A personal explanation from you of what we have done on internment will make much more of an impact on the Pope than Mr. Crawley’s discussions with Vatican officials. 
Subject to Mr. Whitelaw’s views, 
there is considerable attraction in a fairly open statement of support by the Pope for the White Paper proposals; and he may be more willing to speak out if he can be persuaded that we have taken positive steps on internment.
",IMG_9334,PREM_15_1692,"]

A personal explanation from you of what we have done on internment will make much more of an impact on the Pope than Mr. Crawley’s discussions with Vatican officials. 
Subject to Mr. Whitelaw’s views, 
there is considerable attraction in a fairly open statement of support by the Pope for the White Paper proposals; and he may be more willing to speak out if he can be persuaded that we have taken positive steps on internment.", A personal explanation from you of what we have done on internment will make much more of an impact on the Pope than Mr Crawley s discussions with Vatican officials Subject to Mr Whitelaw s views there is considerable attraction in a fairly open statement of support by the Pope for the White Paper proposals and he may be more willing to speak out if he can be persuaded that we have taken positive steps on internment ,"Reference 1 - 18.95% Coverage
A personal explanation from you of what we have done on internment will make much more of an impact on the Pope than Mr. Crawley’s discussions with Vatican officials. 
Subject to Mr. Whitelaw’s views, 
there is considerable attraction in a fairly open statement of support by the Pope for the White Paper proposals; and he may be more willing to speak out if he can be persuaded that we have taken positive steps on internment."
19,"Files\\EKG_round1\\PREM 15 1692\\IMG_9335_PREM_15_1692 - § 1 reference coded [ 13.21% Coverage]
Reference 1 - 13.21% Coverage
THIS WAS SOMEWHAT UNEXPECTED AS PARAGRAPHS 58 TO 60 OF THE WHITE PAPER DEALT WITH THIS POINT AND WE HAD SENT THE VATICAN THE TEXT OF MR WHITELAW’S STATEMENT MADE IN THE HOUSE OF COMMONS ON 20 DECEMBER LAST ON THE REPORT OF THE DIPLOCK COMMISSION. WE HAD ALSO SENT THE TEXT OF THE PRIME MINISTER’S SIMILAR STATEMENT ON 28 MARCH WHICH AGAIN DEALS WITH INTERNMENT. MOREOVER, THE PRIME MINISTER. HIMSELF HAD EXPLAINED TO THE POPE OUR DIFFICULTIES ABOUT INTERNMENT
",IMG_9335,PREM_15_1692,"]

THIS WAS SOMEWHAT UNEXPECTED AS PARAGRAPHS 58 TO 60 OF THE WHITE PAPER DEALT WITH THIS POINT AND WE HAD SENT THE VATICAN THE TEXT OF MR WHITELAW’S STATEMENT MADE IN THE HOUSE OF COMMONS ON 20 DECEMBER LAST ON THE REPORT OF THE DIPLOCK COMMISSION. WE HAD ALSO SENT THE TEXT OF THE PRIME MINISTER’S SIMILAR STATEMENT ON 28 MARCH WHICH AGAIN DEALS WITH INTERNMENT. MOREOVER, THE PRIME MINISTER. HIMSELF HAD EXPLAINED TO THE POPE OUR DIFFICULTIES ABOUT INTERNMENT", THIS WAS SOMEWHAT UNEXPECTED AS PARAGRAPHS 58 TO 60 OF THE WHITE PAPER DEALT WITH THIS POINT AND WE HAD SENT THE VATICAN THE TEXT OF MR WHITELAW S STATEMENT MADE IN THE HOUSE OF COMMONS ON 20 DECEMBER LAST ON THE REPORT OF THE DIPLOCK COMMISSION WE HAD ALSO SENT THE TEXT OF THE PRIME MINISTER S SIMILAR STATEMENT ON 28 MARCH WHICH AGAIN DEALS WITH INTERNMENT MOREOVER THE PRIME MINISTER HIMSELF HAD EXPLAINED TO THE POPE OUR DIFFICULTIES ABOUT INTERNMENT,"Reference 1 - 13.21% Coverage
THIS WAS SOMEWHAT UNEXPECTED AS PARAGRAPHS 58 TO 60 OF THE WHITE PAPER DEALT WITH THIS POINT AND WE HAD SENT THE VATICAN THE TEXT OF MR WHITELAW’S STATEMENT MADE IN THE HOUSE OF COMMONS ON 20 DECEMBER LAST ON THE REPORT OF THE DIPLOCK COMMISSION. WE HAD ALSO SENT THE TEXT OF THE PRIME MINISTER’S SIMILAR STATEMENT ON 28 MARCH WHICH AGAIN DEALS WITH INTERNMENT. MOREOVER, THE PRIME MINISTER. HIMSELF HAD EXPLAINED TO THE POPE OUR DIFFICULTIES ABOUT INTERNMENT"
20,"Files\\EKG_round1\\PREM 15 1692\\IMG_9336_PREM_15_1692 - § 1 reference coded [ 6.83% Coverage]
Reference 1 - 6.83% Coverage
DURING THEIR MEETING LAST OCTOBER, INFORMING HIM THAT, SINCE THE INTRODUCTION OF DIRECT RULE, THE NUMBER OF INTERNEES HAD BEEN REDUCED FROM OVER 1,000 TO SOME 171 AND THAT MORE WOULD SOON BE RELEASED.
",IMG_9336,PREM_15_1692,"]

DURING THEIR MEETING LAST OCTOBER, INFORMING HIM THAT, SINCE THE INTRODUCTION OF DIRECT RULE, THE NUMBER OF INTERNEES HAD BEEN REDUCED FROM OVER 1,000 TO SOME 171 AND THAT MORE WOULD SOON BE RELEASED.", DURING THEIR MEETING LAST OCTOBER INFORMING HIM THAT SINCE THE INTRODUCTION OF DIRECT RULE THE NUMBER OF INTERNEES HAD BEEN REDUCED FROM OVER 1 000 TO SOME 171 AND THAT MORE WOULD SOON BE RELEASED ,"Reference 1 - 6.83% Coverage
DURING THEIR MEETING LAST OCTOBER, INFORMING HIM THAT, SINCE THE INTRODUCTION OF DIRECT RULE, THE NUMBER OF INTERNEES HAD BEEN REDUCED FROM OVER 1,000 TO SOME 171 AND THAT MORE WOULD SOON BE RELEASED."
21,"Files\\SKD_round1\\CJ 4 251\\IMG_1770_CJ_4_251 - § 1 reference coded [ 1.53% Coverage]
Reference 1 - 1.53% Coverage
Page 1 : (130,497) - (482,537)
",IMG_1770,CJ_4_251,"]

Page 1 : (130,497) - (482,537)", Page 1 130 497 482 537 ,"Reference 1 - 1.53% Coverage
Page 1 : (130,497) - (482,537)"
22,"Files\\SKD_round1\\DEFE 13 917\\IMG_2327_DEFE_13_917 - § 1 reference coded [ 2.69% Coverage]
Reference 1 - 2.69% Coverage
Page 1 : (168,688) - (626,769)
",IMG_2327,DEFE_13_917,"]

Page 1 : (168,688) - (626,769)", Page 1 168 688 626 769 ,"Reference 1 - 2.69% Coverage
Page 1 : (168,688) - (626,769)"
