docs,file1,file2,file3,coder_r1,start_yr,start_mo,end_year,end_mo,description,blk1,completed,notes
11,PREM,15,1015,Emily,1972,10,1972,11,"Situation in Northern Ireland, part 29",,Done 12/27,
54,DEFE,13,1358,Dani,1972,1,1972,12,Northern Ireland: situation reports,,Done 12/29,Finished after PREM 15s
21,PREM,15,1016,Emily,1972,11,1972,12,"Situation in Northern Ireland, part 30",,Done 12/27,
45,DEFE,13,919,Sarah,1972,,1972,,Northern Ireland: interrogation,,Done 01/06,Finished after PREM 15s
90,CJ,4,458,Sarah,1972,5,1973,1,Terrorist suspects: policy and procedures for arrest and interrogation_,,NOT DONE,SKIP -- RETURN TO LATER
16,PREM,15,1689,Dani,1973,1,1973,2,"Situation in Northern Ireland, part 31",,Done 12/28,
4,PREM,15,1690,Emily,1973,2,1973,3,"Situation in Northern Ireland, part 32",,Done 12/28,
6,PREM,15,1691,Emily,1973,3,1973,3,"Situation in Northern Ireland, part 33",,Done 12/28,
16,PREM,15,1692,Emily,1973,3,1973,4,"Situation in Northern Ireland, part 34",,Done 12/28,
7,PREM,15,1693,Emily,1973,5,1973,7,"Situation in Northern Ireland, part 35",,Done 12/28,
2,DEFE,24,876,Dani,1973,1,1973,12,Northern Ireland: force levels; reinforcement; contingency planning,,Done 01/06,
12,DEFE,24,877,Dani,1973,1,1973,12,Northern Ireland: force levels; structure and organisation,,Done 01/06,
1,DEFE,24,606,Dani,1971,,1973,,BAOR and Allied Mobile Force (Land) units in Northern Ireland,,Done 01/06,
1374,,,,,,,,,,,,
